nct,duration_class,velocity_class,both,child,adult_height_endpoint,has_results,n,minage,maxage,status,start,sponsor,intervention,condition,title
NCT03440879,gnrh_analogue,,False,False,False,False,23,18 Years,75 Years,TERMINATED,2018-09-21,Norwegian School of Sport Sciences,Zoladex,"Prostate Cancer, Resistance Exercise, Androgen Deprivation Therapy",Androgen Deprivation Therapy Muscle Protein Metabolism and Blood Glucose
NCT00348998,gnrh_analogue,,False,False,False,False,18,18 Years,,UNKNOWN,2006-04,Virginia Mason Hospital/Medical Center,"bevacizumab, bicalutamide, goserelin acetate, radiation therapy",Prostate Cancer,"Bevacizumab, Hormone Therapy, and Radiation Therapy in Treating Patients With Locally Advanced Prostate Cancer"
NCT03475758,gnrh_analogue,,False,True,False,False,100,,,UNKNOWN,2018-03,Assiut University,Goserelin,Ovarian Failure,Goserelin for Ovarian Protection in Premenopausal Patients Receiving Cyclophosphamide
NCT03936933,gnrh_analogue,,False,False,False,False,6,18 Years,59 Years,TERMINATED,2020-10-30,Eurofarma Laboratorios S.A.,"Goserelin acetate 3.6 mg Injection, ZOLADEX® 3.6mg Injection",Breast Cancer,Pharmacodynamic Study Goserelin 3.6mg Injection Administered Subcutaneously in Premenopausal Patients with Breast Cancer
NCT04356430,gnrh_analogue,,False,False,False,False,75,18 Years,75 Years,UNKNOWN,2019-04-01,The Affiliated Nanjing Drum Tower Hospit,"Abiraterone Acetate, Prednisone, Goserelin 10.8 mg",Prostate Cancer,Neoadjuvant Therapy of Abiraterone Plus ADT for High Risk Prostate Cancer
NCT04060043,gnrh_analogue,,False,False,False,False,11,18 Years,,COMPLETED,2017-02-21,CMX Research,Goserelin Acetate,Prostate Cancer,Pilot Study to Evaluate the Effects of a Generic Goserelin Acetate in Patients With Prostate Cancer
NCT02586675,estrogen_blockade|gnrh_analogue,,False,False,False,True,7,18 Years,,COMPLETED,2016-02-23,H. Lee Moffitt Cancer Center and Researc,"Tamoxifen, Ribociclib, Goserelin","Breast Cancer, Breast Cancer - Female, Breast Cancer - Male",TEEL Study- Phase 1 Tamoxifen and Ribociclib (LEE011) in Advanced ER+ (HER2 Negative) Breast Cancer
NCT00769795,gnrh_analogue,,False,False,False,False,29,18 Years,,COMPLETED,2008-10,University of Washington,"IMC-A12, Bicalutamide, Goserelin",Prostate Cancer,Study of Effectiveness of IMC-A12 Antibody Combined With Hormone Therapy Prior to Surgery to Treat Prostate Cancer
NCT00429403,gnrh_analogue,,False,True,False,True,1,15 Years,46 Years,TERMINATED,2006-08,M.D. Anderson Cancer Center,Goserelin,Breast Cancer,Goserelin Acetate Study for Ovarian Function in Patients With Primary Breast Cancer
NCT00536653,gnrh_analogue,,False,True,False,False,618,,,COMPLETED,1999-10,Wirral University Teaching Hospital NHS ,"Bicalutamide and Calcium/ Vitamin D supplementation, LHRH agonists (Goserelin acetate) and Calcium/ Vitamin D supplement",Osteoporosis,Changes in Bone Mineral Density and Fracture Risk in Patients Receiving Androgen Deprivation Therapy for Prostate Cancer
NCT00427245,gnrh_analogue,,False,True,False,False,400,,,COMPLETED,2004-08,Anglo Celtic Cooperative Oncology Group,"cyclophosphamide, goserelin acetate, adjuvant therapy, fertility assessment and management, neoadjuvant therapy","Breast Cancer, Infertility, Menopausal Symptoms","Goserelin in Preventing Early Menopause in Premenopausal Women Undergoing Chemotherapy for Stage I, Stage II, or Stage I"
NCT03658213,gnrh_analogue,,False,False,False,False,0,18 Years,59 Years,WITHDRAWN,2020-03-31,AstraZeneca,"ZOLADEX 10.8 mg, ZOLADEX 3.6mg",Breast Cancer,To Compare ZOLADEX 10.8 mg With ZOLADEX 3.6mg in Chinese Pre-menopausal ER+ HER2- Early Breast Cancer.
NCT00439751,gnrh_analogue,,False,False,False,False,79,18 Years,,COMPLETED,2007-04,Ontario Clinical Oncology Group (OCOG),Goserelin Acetate,Prostate Cancer,"Immediate Versus Deferred Androgen Deprivation Therapy,Goserelin for Recurrent Prostate Cancer After Radical Radiotherap"
NCT02382094,,,False,True,False,False,110,,,COMPLETED,2005-06,Karolinska University Hospital,Bicalutamide,Prostate Cancer,Clinical Trial to Study Quality of Life in Prostate Cancer Patients by Randomizing Anti-androgen Versus Total Androgen B
NCT03587285,gnrh_analogue,,False,False,False,False,11,18 Years,90 Years,UNKNOWN,2018-09-23,Guangzhou University of Traditional Chin,"Tcm+ Goserelin acetate+ Bicalutamide, Tcm+Goserelin acetate+Abiraterone acetate",Prostatic Neoplasms,A Pilot Study of Hormonal Therapy Combined With Central Memory T Cells (Tcm) for Patients With Advanced Prostate Cancer
NCT00540059,gnrh_analogue,,False,True,False,False,1950,,,COMPLETED,2005-06,AstraZeneca,,Prostate Carcinoma,"Evaluation of QoL, Tolerability and Use of Zoladex 10,8 SafeSystem for Advanced PCa - German IPEP Trial"
NCT01738724,gnrh_analogue,,False,False,False,False,14,35 Years,55 Years,TERMINATED,2012-01,University of Sao Paulo,"Dienogest, Goserelin, Desogestrel",Uterine Leiomyoma,Study of the Efficacy of Dienogest in the Treatment of Uterine Leiomyomas When Compared to Desogestrel and Goserelin
NCT00967018,,,False,False,False,True,77,18 Years,,COMPLETED,2009-08,Ferring Pharmaceuticals,Degarelix,Prostate Cancer,A Long Term Safety Study of Degarelix in Patients With Prostate Cancer
NCT06387056,gnrh_analogue,,False,False,False,False,40,18 Years,,RECRUITING,2024-04-01,The First Affiliated Hospital of Xiamen ,"Rezvilutamide, Goserelin Microspheres for Injection, Docetaxel, Pamiparib, Cisplatin, Tislelizumab","Locally Advanced Prostate Cancer, Oligometastatic Prostate Cancer",Genomic Biomarker-guided Neoadjuvant Therapy for Prostate Cancer (SEGNO)
NCT00703768,,,False,False,False,False,300,18 Years,,UNKNOWN,2006-06,Urology South Shore Research Inc.,,Prostate Cancer,Quality of Life for Subjects Receiving Androgen Deprivation Therapy and Have a Doubling in PSA of Either Less Than or Gr
NCT03696186,,,False,False,False,False,300,18 Years,,UNKNOWN,2018-08-01,Tianjin Medical University Second Hospit,"Luminal type-1, Luminal type-2, Neuroendocrine type-1, Neuroendocrine type-2, Atypical type-1, Atypical type-2","Castration-resistant Prostate Cancer, Prostate Cancer Metastatic",Selective Treatment According to Molecular Subtype of Prostate Cancer
NCT02592031,gnrh_analogue,,False,False,False,False,49,18 Years,39 Years,COMPLETED,2009-02,Merckle GmbH,"XM17, Gonal-f®, Zoladex®",Bioequivalence,"Study to Compare the Bioavailability, Safety and Tolerability of XM17 in Healthy, Down Regulated Young Women"
NCT05720260,estrogen_blockade|gnrh_analogue,,False,False,False,False,42,20 Years,,RECRUITING,2023-01-17,National Taiwan University Hospital,"Goserelin, Fulvestrant, Capivasertib, Durvalumab","Premenopausal Breast Cancer, Metastatic Breast Cancer, ER Positive Bre","Immunotherapy, Hormone Therapy, and AKT Inhibitor for Premenopausal ER Positive MBC"
NCT05438810,estrogen_blockade|gnrh_analogue,,False,False,False,False,312,18 Years,,UNKNOWN,2022-01-18,"Ahon Pharmaceutical Co., Ltd.","FCN-437c,Fulvestrant,Goserelin acetate, Placebo,Fulvestrant,Goserelin acetate","Advanced Breast Cancer, Female Breast Cancer","This is a Multicenter, Randomized, Double-blind, Placebo-controlled Phase III Clinical Study Evaluating the Efficacy and"
NCT05694819,gnrh_analogue,,False,False,False,False,57,20 Years,,COMPLETED,2020-04-17,National Cancer Center Hospital East,"Darolutamide, Goserelin",Salivary Gland Cancer,Darolutamide in Patients With Androgen Receptor-Positive Salivary Gland Carcinoma (DISCOVARY)
NCT06772441,,,False,False,False,False,30,18 Years,,RECRUITING,2024-11-01,"German Oncology Center, Cyprus",Androgen deprivation therapy (ADT),Prostate Cancer,Artificial Intelligence Driven Personalisation of Radiotherapy and Concomitant Androgen Deprivation Therapy for Prostate
NCT02430480,gnrh_analogue,,False,False,False,True,39,18 Years,,COMPLETED,2015-06-03,National Cancer Institute (NCI),"Goserelin, Enzalutamide, mpMRI",Prostate Cancer,Using Multiparametric MRI to Evaluate Intraprostatic Tumor Responses and Androgen Resistance Patterns in Newly Diagnosed
NCT06080620,,,False,False,False,False,50,18 Years,70 Years,UNKNOWN,2023-10-08,Peking Union Medical College Hospital,"Modified radical mastectomy for breast cancer, neoadjuvant therapy, Systematic treatment",Locally Advanced Breast Cancer,The Choice of Treatment Methods and Efficacy of LABC
NCT00002460,estrogen_blockade|gnrh_analogue,,False,True,False,False,,,49 Years,UNKNOWN,1987-09,Cancer Research UK,"goserelin acetate, tamoxifen citrate, ablative endocrine surgery, oophorectomy",Breast Cancer,Adjuvant Hormone Therapy in Treating Women With Operable Breast Cancer
NCT01712893,gnrh_analogue,,False,True,False,False,216,,45 Years,COMPLETED,2009-06,Fudan University,Zoladex,Breast Cancer,"Simultaneous Versus Sequential Use of Adjuvant Chemotherapy and GnRHa in Treating ER+,Premenopausal Breast Cancer"
NCT04536467,gnrh_analogue,,False,True,False,False,80,17 Years,40 Years,UNKNOWN,2019-03-01,Beni-Suef University,"Goserelin, Chemotherapy",Premature Ovarian Failure,Prevention of Chemotherapy-Induced Ovarian Failure With Goserelin in Premenopausal Lymphoma Patients
NCT03942653,gnrh_analogue,,False,False,False,False,20,18 Years,,ACTIVE_NOT_RECRUITING,2019-05-30,Manish Patel,"Goserelin Acetate, Pembrolizumab",Salivary Gland Carcinoma,Androgen Deprivation Therapy (ADT) and Pembrolizumab for Advanced Stage Androgen Receptor-positive Salivary Gland Carcin
NCT01964170,gnrh_analogue,,False,False,False,False,234,20 Years,,COMPLETED,2013-08-13,Astellas Pharma Inc,"degarelix, Goserelin",Prostate Cancer,A Study to Compare the Effect of ASP3550 With Goserelin in Patients With Prostate Cancer
NCT06291064,,,False,False,False,False,85,18 Years,70 Years,RECRUITING,2025-03-18,University of Chicago,"Cyclophosphamide, Epirubicin, Docetaxel, Carboplatin, Breast Surgery, Capecitabine",Triple Negative Breast Cancer,Trial Studying Chemotherapy in Nigerian Women With Triple Negative Breast Cancer
NCT01530607,gnrh_analogue,,False,False,False,False,416,18 Years,50 Years,COMPLETED,2009-11,King Faisal Specialist Hospital & Resear,"Standard cyclophosphamide, Goserelin (Zoladex)",Breast Cancer,"Administration During Chemotherapy to Reduce Ovarian Failure Following Chemotherapy in Early Stage, Hormone-Receptor Neg"
NCT04325828,gnrh_analogue,,False,False,False,True,31,18 Years,,ACTIVE_NOT_RECRUITING,2020-04-07,Janssen Pharmaceutical K.K.,"Apalutamide, GnRH Agonist",Salivary Gland Neoplasms,A Study of Apalutamide Combined With GnRH Agonist in Participants With Androgen Receptor Positive Salivary Gland Carcino
NCT00021450,gnrh_analogue,,False,True,False,False,819,,80 Years,COMPLETED,2001-04,European Organisation for Research and T,"bicalutamide, goserelin acetate, adjuvant therapy, radiation therapy",Prostate Cancer,Radiation Therapy With or Without Bicalutamide and Goserelin in Treating Patients With Prostate Cancer
NCT05003752,gnrh_analogue,,False,False,False,False,40,18 Years,,UNKNOWN,2021-08-01,"German Oncology Center, Cyprus","External beam radiation therapy, High-dose-rate brachytherapy, Goserelin 10.8 mg","Prostate Adenocarcinoma, Radiation Toxicity",Hypo-Combi Trial: Hypofractionated EBRT Plus HDR-BT Boost for Prostate Cancer
NCT00309478,estrogen_blockade|gnrh_analogue,,False,False,False,False,1099,19 Years,,COMPLETED,1990-12,Austrian Breast & Colorectal Cancer Stud,"Cyclophosphamide, Methotrexate, Fluorouracil implant, Goserelin, Tamoxifen",Early-stage Breast Cancer,Randomized Study Comparing CMF and Goserelin + Tamoxifen in Premenopausal Receptor-positive Patients
NCT02661789,gnrh_analogue,,False,False,False,False,63,18 Years,40 Years,COMPLETED,2011-01,Gitte Moos Knudsen,"Goserelin 3.6 mg implant, Placebo","Postpartum Depression, Major Depressive Disorder, Postpartum Psychosis",Neuropsychobiological Correlates of Sex-steroid Hormone Manipulation in Healthy Women: a Risk Model for Depression
NCT00293670,gnrh_analogue,,False,True,False,False,573,0 Years,,UNKNOWN,1997-05,Tampere University,Goserelin (Zoladex),Patients With T1-4 Advanced Prostate Cancer,FINNPROSTATE Study VII: Intermittent Versus Continuous Androgen Deprivation in Patients With Advanced Prostate Cancer
NCT04116827,estrogen_blockade,,False,False,False,False,20,18 Years,45 Years,UNKNOWN,2018-08-10,Samsung Medical Center,Tamoxifen Oral Tablet,"Sleep Disorder, Breast Cancer",Sleep and Activity Patterns in Pre-menopausal Breast Cancer Patients on Tamoxifen Using a Wrist-worn Internet of Things 
NCT00031850,estrogen_blockade|gnrh_analogue,,False,False,False,False,150,30 Years,45 Years,COMPLETED,2000-03,"Institute of Cancer Research, United Kin","goserelin acetate, raloxifene",Breast Cancer,Raloxifene and Goserelin in Preventing Breast Cancer in Women With a Family History of Breast Cancer
NCT00004124,gnrh_analogue,,False,False,False,True,983,18 Years,120 Years,COMPLETED,1999-10-15,SWOG Cancer Research Network,"bicalutamide, goserelin, mitoxantrone hydrochloride, prednisone",Prostate Cancer,"S9921, Hormone Therapy With or Without Mitoxantrone and Prednisone in Patients Who Have Undergone Radical Prostatectomy "
NCT03193060,gnrh_analogue,,False,False,False,False,308,18 Years,100 Years,COMPLETED,2017-09-19,AstraZeneca,,Localized or Locally Advanced Prostate Cancer,"A Multi-centre, Prospective, Observational Study on Effectiveness and Safety of ZOLADEX® (Goserelin Acetate Implant) 10."
NCT00888082,gnrh_analogue,,False,False,False,False,102,18 Years,45 Years,WITHDRAWN,,AstraZeneca,Goserelin acetate,"Breast Cancer, Ovarian Function",Protection of Ovarian Function With Goserelin Acetate in Premenopausal Early Breast Cancer Patients With Chemotherapy
NCT00827307,estrogen_blockade|gnrh_analogue,,False,False,False,False,100,18 Years,50 Years,COMPLETED,2008-06,Zhejiang Cancer Hospital,"tamoxifen, Goserelin","Mammography, Estrogen, Lipemia, Endometrium, Ultrasonography",Zoladex Plus Tamoxifen in Breast Cancer
NCT03450109,gnrh_analogue,,False,False,False,False,19,18 Years,,COMPLETED,2017-12-22,Luye Pharma Group Ltd.,"LY01005, Zoladex",Cancer of Prostate,A Study to Assess LY01005 Versus Goserelin Comparator (ZOLADEX®) in Patients With Prostate Cancer
NCT00104715,gnrh_analogue,,False,False,False,False,385,18 Years,120 Years,COMPLETED,2004-10-18,UNICANCER,"antiandrogen therapy, docetaxel, goserelin acetate, orchiectomy",Prostate Cancer,Hormone Therapy and Docetaxel or Hormone Therapy Alone in Treating Patients With Metastatic Prostate Cancer
NCT07552506,gnrh_analogue,,False,True,False,False,132,14 Years,50 Years,NOT_YET_RECRUITING,2026-05-01,"Union Hospital, Tongji Medical College, ",Goserelin Depot,"Aplastic Anaemia (AA), Allogeneic Haematopoietic Stem Cell Transplanta",Clinical Study on the Preservation of Ovarian Function in Patients With Aplastic Anemia Following Allogeneic Hematopoiet
NCT02132390,gnrh_analogue,,False,False,False,False,300,18 Years,45 Years,UNKNOWN,2014-05,Peking Union Medical College Hospital,"Goserelin, Toremifene","Breast Cancer, Chemotherapy Induced Amenorrhea, Ovarian Function Suppr","Adjuvant Toremifene With or Without Goserrelin in Premenopausal Women With Stage I-IIIA, Hormonal Receptor Positive Brea"
NCT00488722,gnrh_analogue,,False,False,False,False,,25 Years,50 Years,UNKNOWN,2007-04,Tianjin Medical University,Zoladex,Breast Cancer,"A Prospective, Single-Arm Study to Evaluate the Efficacy and Safety of Zoladex 3.6mg Combined With CEF Chemotherapy as N"
NCT00196846,gnrh_analogue,,False,False,False,False,62,18 Years,45 Years,COMPLETED,2005-03,GBG Forschungs GmbH,Goserelin,Breast Cancer,Prevention of Chemotherapy Induced Ovarian Failure With Goserelin in BC Patients (ZORO)
NCT00841113,gnrh_analogue,,False,False,False,False,177,18 Years,,COMPLETED,1999-01,Speciality European Pharma Limited,"Abarelix, Goserelin plus Bicalutamide",Prostate Cancer,Abarelix Versus Goserelin Plus Bicalutamide in Patients With Advanced or Metastatic Prostate Cancer
NCT05184257,gnrh_analogue,,False,False,False,False,1176,18 Years,,COMPLETED,2022-01-06,AstraZeneca,,Breast Cancer,Zoladex® 10.8 BC RWS
NCT00912548,estrogen_blockade|gnrh_analogue,,False,False,False,False,1234,18 Years,45 Years,UNKNOWN,2009-05,Korean Breast Cancer Study Group,"goserelin, tamoxifen",Breast Cancer,Evaluating the Role of the Addition of Ovarian Function Suppression (OFS) to Tamoxifen in Young Women
NCT01120262,gnrh_analogue,,False,False,False,False,545,18 Years,120 Years,COMPLETED,2010-02,SWOG Cancer Research Network,"gene expression analysis, polymorphism analysis, laboratory biomarker analysis",Prostate Cancer,S9346A Blood Samples From Patients With Metastatic Prostate Cancer Previously Treated With Bicalutamide and Goserelin
NCT06483386,,,False,False,False,False,109,18 Years,,NOT_YET_RECRUITING,2024-07-15,Tianjin Medical University Cancer Instit,Pyrotinib and Subcutaneous preparation of trastuzumab combined with capecitabine,Breast Cancer,Pyrotinib and Subcutaneous Preparation of Trastuzumab Combined With Capecitabine Neoadjuvant Therapy for HER2+ Study of 
NCT00293696,gnrh_analogue,,False,False,False,False,30,18 Years,70 Years,COMPLETED,2004-10,Tampere University,"bicalutamide (Casodex), goserelin (Zoladex)",Prostate Cancer,Casodex/Zoladex Biomarkers in Localised Prostate Cancer
NCT06523530,gnrh_analogue,,False,False,False,False,62,18 Years,45 Years,ACTIVE_NOT_RECRUITING,2024-11-26,Aristotle University Of Thessaloniki,"Goserelin Acetate 3.6 mg inj, implant","Metabolic Dysfunction-Associated Steatotic Liver Disease, Nonalcoholic",Effect of a GnRH Analog on Hepatic Steatosis
NCT02003209,gnrh_analogue,,False,False,False,True,315,18 Years,,COMPLETED,2014-02-18,National Cancer Institute (NCI),"Aromatase Inhibition Therapy, Carboplatin, Cytology Specimen Collection Procedure, Docetaxel, Goserelin Acetate, Laborat","HER2-Positive Breast Carcinoma, Hormone Receptor-Positive Breast Carci","Docetaxel, Carboplatin, Trastuzumab, and Pertuzumab With or Without Estrogen Deprivation in Treating Patients With Hormo"
NCT06929884,gnrh_analogue,,False,False,False,False,400,18 Years,,ACTIVE_NOT_RECRUITING,2020-04-02,Qianfoshan Hospital,,Prostate Cancers,"Effectiveness, Safety, and Economic Evaluation of Goserelin Microspheres for Injection and Goserelin Sustained-Release I"
NCT01942135,estrogen_blockade,,False,False,False,True,521,18 Years,,COMPLETED,2013-09-26,Pfizer,"Palbociclib, Fulvestrant, Placebo, Fulvestrant",Metastatic Breast Cancer,Palbociclib (PD-0332991) Combined With Fulvestrant In Hormone Receptor+ HER2-Negative Metastatic Breast Cancer After End
NCT00851461,gnrh_analogue,,False,False,False,False,10,20 Years,,COMPLETED,2008-04,Ramathibodi Hospital,"Goserelin, Electrophysiologic study, tissue biopsy","Spinobulbar Muscular Atrophy, Kennedy's Disease",Effect of Goserelin (Zoladex®) in Spinal and Bulbar Muscular Atrophy
NCT02544191,,,False,False,False,False,30,18 Years,45 Years,UNKNOWN,2015-12,"Jinling Hospital, China",GnRHa/ hCG/ hMG,Azoospermia,GnRHa Combined With hCG and hMG for Treatment of Patients With Non-obstructive Azoospermia
NCT07310420,gnrh_analogue,,False,False,False,False,88,18 Years,55 Years,RECRUITING,2026-08-30,TerSera Therapeutics LLC,ZOLADEX,Advanced Breast Cancer,"A Trial to Evaluate Ovarian Suppression Following Subcutaneous ZOLADEX 10.8 mg in Premenopausal Women With HR+, HER2- Ad"
NCT03936218,gnrh_analogue,,False,False,False,False,94,18 Years,75 Years,COMPLETED,2020-09-30,Eurofarma Laboratorios S.A.,"Inj. Goserelin (Test) Subcutaneously, Inj. Zoladex (Reference) Subcutaneously",Advanced Prostate Cancer,Goserelin 10.8mg Injection in Treatment of Advanced Prostate Cancer
NCT01496131,gnrh_analogue,,False,False,False,True,28,18 Years,,COMPLETED,2011-10-24,EMD Serono,"Radiation therapy, Goserelin, Cyclophosphamide, Tecemotide (L-BLP25)",Prostate Cancer,Tecemotide (L-BLP25) in Prostate Cancer
NCT01014507,gnrh_analogue,,False,False,False,False,60,18 Years,40 Years,COMPLETED,2004-01,University of Cologne,"8 cycles BEACOPPesc plus oral contraceptive, 8 cycles BEACOPPesc plus Goserelin",Hodgkins Lymphoma,Protection of Ovarian Function in Female Patients With Hodgkin Lymphoma
NCT00080756,gnrh_analogue,,False,False,False,False,11,21 Years,48 Years,ACTIVE_NOT_RECRUITING,2004-03-11,City of Hope Medical Center,"therapeutic estradiol, deslorelin, therapeutic testosterone, therapeutic conventional surgery, active surveillance, qual","brca1 Mutation Carrier, brca2 Mutation Carrier, Breast Cancer",Deslorelin Combined With Low-Dose Add-Back Estradiol and Testosterone in Preventing Breast Cancer in Premenopausal Women
NCT00001190,gnrh_analogue,,False,True,False,False,50,,,COMPLETED,1983-11,Eunice Kennedy Shriver National Institut,Deslorelin,"Dwarfism, Growth Disorder",Study of Luteinizing Hormone-Releasing Hormone Analog (LHRHa) in Pubertal Patients With Extreme Short Stature
NCT06572930,,,False,False,False,False,150,18 Years,39 Years,RECRUITING,2024-12-16,ART Fertility Clinics LLC,Gonal-f (gonadotropin),Ovarian Stimulation,Serum FSH Monitoring for Identification of an Optimal Range During Ovarian Stimulation
NCT02368964,gnrh_analogue,,False,False,False,False,100,18 Years,42 Years,COMPLETED,2015-02-01,Sheba Medical Center,"GnRH agonist 0.2 mg + hCG 250 mcg, high dose hCG 500 mcg",Infertility,IVF Treatment in Women With Immature Oocytes in Previous Cycle
NCT02908438,,,False,False,False,False,400,18 Years,37 Years,UNKNOWN,2016-09,Northwest Women's and Children's Hospita,Gonadotrophin releasing hormone agonist(GnRHa),GnRHa;LPS,Gonadotrophin Releasing Hormone Agonist Addition for Luteal Support in In-vitro Fertilization and Embryo Transfer Cycles
NCT06732843,,,False,False,False,False,10,18 Years,38 Years,RECRUITING,2025-07-23,ART Fertility Clinics LLC,,"OVARIAN STIMULATION, Telomere Length, Telomere Length, Mean Leukocyte","Does Recombinant FSH (rFSH, i.g. Gonal F®) as Compared to Human Menopausal Gonadotrophin (hMG) Affect Telomere Length of"
NCT01565265,gnrh_analogue,,False,False,False,False,5,20 Years,35 Years,COMPLETED,2012-04,"University Hospital, Basel, Switzerland","Pergoveris in long protocol with GnRH agonist, Pergoveris in GnRH antagonist protocol","Female Infertility Due to Nonimplantation of Ovum, Complications Assoc",Comparing Ovarian Stimulation for Assisted Reproduction With Two Different Forms of Pituitary Suppression
NCT01607203,gnrh_analogue,,False,True,False,True,120,,38 Years,COMPLETED,2011-11,AZ Jan Palfijn Gent,"Decapeptyl Daily, pregnyl",Infertility,Trial Comparing hCG Triggering Versus hCG Associated With GnRH Agonist
NCT05838105,gnrh_analogue,,False,False,False,False,144,18 Years,45 Years,UNKNOWN,2022-10-01,Shaare Zedek Medical Center,"GnRH agonist, hCG, Progesterone 100Mg Vag Tab",Luteal Phase Support,Two Different Types of Luteal Phase Support in Natural Cycle Frozen Embryo Transfer and Its Effect on Pregnancy Rates
NCT06739759,,,False,False,False,False,300,19 Years,42 Years,RECRUITING,2024-11-17,Aljazeera Hospital,"Antagonist protocol for IVF, Modified Agonist protocol for IVF with additive treatments as HCQ",Ovarian Hyper Stimulation Syndrome (OHSS),Ovarian Hyperstimulation Syndrome Prevention
NCT02736032,gnrh_analogue,,False,False,False,False,310,20 Years,35 Years,COMPLETED,2016-03,Cairo University,"Embryo transfer, Serum Estradiol and Progesterone levels, GnRH agonist, External Estradiol, Progesterone",Infertility,Cryopreserved-thawed Embryo Transfer With or Without Gonadotropin Releasing Hormone Agonist
NCT02402192,,,False,False,False,False,201,18 Years,37 Years,TERMINATED,2015-04,IVI Madrid,Corifollitropin alfa,Infertility,Type of Gonadotropin and Embryo Kinetics of Development
NCT03105323,,,False,False,False,False,40,20 Years,40 Years,UNKNOWN,2017-05-01,Ain Shams Maternity Hospital,,"Infertility, Female",Role of Ratio of Progesterone to Number of Follicles as a Prognostic Tool for IntracytoplasmicSperm Injection Outcome
NCT01790282,,,False,False,False,False,220,18 Years,39 Years,COMPLETED,2013-03,Mansoura Integrated Fertility Center,"estradiol plus progesterone 100 mg IM injection, Progesterone IM of 100 mg","IVF, Infertility",Is Adding E2 to P4 Luteal Support In High Responder Long Gn-RH Agonist ICSI Cycles Detrimental to Outcome? RCT
NCT04064840,gnrh_analogue,,False,False,False,False,784,18 Years,42 Years,RECRUITING,2019-09-01,The University of Hong Kong,"IVF: Decapeptyl and hCG, FET: Decapeptyl, IVF: hCG and normal saline, FET: Normal Saline",Subfertility,GnRH Agonist for Dual Trigger in IVF and for Luteal Phase Support in FET
NCT01888744,gnrh_analogue,,False,False,False,False,120,18 Years,39 Years,COMPLETED,2010-09,Universitair Ziekenhuis Brussel,"GnRH agonist, GnRH antagonist, hP-hMG, Human chorionic gonadotropin, Progesterone","Reproductive Endocrinology, Fertility, Optimal Stimulation Protocol",Preimplantation Genetic Diagnosis (PGD) With Gonadotropin-releasing Hormone (GnRH) Agonist Versus Antagonist
NCT00068419,estrogen_blockade,,False,True,False,True,70,,18 Years,COMPLETED,2004-02,Children's Oncology Group,"tamoxifen citrate, sulindac, laboratory biomarker analysis",Desmoid Tumor,Sulindac and Tamoxifen in Treating Patients With Desmoid Tumor
NCT02630693,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,180,18 Years,,COMPLETED,2016-04-08,Canadian Cancer Trials Group,"Palbociclib 100mg, Palbociclib 125mg, Fulvestrant or Tamoxifen or Aromatase Inhibitor",Breast Cancer,"Two Different Schedules of Palbociclib + Second Line Endocrine Therapy in Estrogen Receptor Positive, HER2 Neg Advanced/"
NCT03623633,estrogen_blockade,,False,False,False,False,51,45 Years,,ACTIVE_NOT_RECRUITING,2018-11-30,Massachusetts General Hospital,"denosumab, alendronate, raloxifene","Osteoporosis, Postmenopausal, Osteoporosis",Comparative Antiresorptive Efficacy Discontinuation of Denosumab
NCT00233610,estrogen_blockade,,False,False,False,False,180,18 Years,75 Years,COMPLETED,2003-12,AstraZeneca,"Bicalutamide, Tamoxifen",Prostate Cancer,Two Different Regimens of Nolvadex in Preventing Gynecomastia Induced by Casodex 150 mg in Patients With Prostate Cancer
NCT06917313,,,False,False,False,False,92,18 Years,,RECRUITING,2025-12-05,Yale University,"Fezolinetant, Placebo",Breast Cancer Early Stage Breast Cancer (Stage 1-3),FLASH-Breast: Evaluating the Efficacy of Fezolinetant in Reducing Vasomotor Symptoms in Women With Breast Cancer on Endo
NCT01582074,estrogen_blockade,,False,False,False,False,247,30 Years,70 Years,COMPLETED,2011-07-05,National Cancer Institute (NCI),,Breast Neoplasms,The Ultrasound Study of Tamoxifen
NCT05172050,estrogen_blockade,,False,False,False,True,61,40 Years,,COMPLETED,2021-01-22,Dompé Farmaceutici S.p.A,"Raloxifene, Placebo",SARS CoV 2 Infection,"Multicenter Double Blind, Parallel-group Phase 2/3 Trial, to Study Raloxifene in Adult COVID-19 Patients."
NCT02993159,estrogen_blockade,,False,False,False,True,100,18 Years,,COMPLETED,2017-05-31,Northwestern University,"Afimoxifene, Laboratory Biomarker Analysis, Placebo, Placebo, Tamoxifen Citrate","Ductal Breast Carcinoma In Situ, Estrogen Receptor Positive",Testing an Active Form of Tamoxifen (4-hydroxytamoxifen) Delivered Through Breast Skin to Control Ductal Carcinoma in Si
NCT00534846,,,False,False,False,False,10,20 Years,45 Years,COMPLETED,2007-04,Satakunta Central Hospital,"toremifene, placebo",Breast Pain,The Effect of Toremifene Treatment to the Magnetic Resonance Imaging (MRI) Findings in Premenstrual Mastalgia
NCT00637871,estrogen_blockade,,False,True,False,False,,,,COMPLETED,2002-11,AstraZeneca,"Casodex, Tamoxifen","Gynaecomastia, Prostate Cancer",Casodex - Nolvadex Combination
