Symbol	Diffrna-MFS_perichondrium_starMin33_PC-mut_vs_PC-WT	RowSum	RowMean	RowSampleSD	RowSampleCV	Description	ReadWrite_SCPs	ReadWrite_human_symbols
COL5A1	-0.783143937587738	0	0	0	0	collagen, type V, alpha 1		COL5A1
COL5A3	-0.891689836978912	0	0	0	0	collagen, type V, alpha 3		COL5A3
COL6A1	-1.32921242713928	0	0	0	0	collagen, type VI, alpha 1		COL6A1
COL6A2	-1.19762468338013	0	0	0	0	collagen, type VI, alpha 2		COL6A2
COMP	-1.06437468528748	0	0	0	0	cartilage oligomeric matrix protein		COMP
COPZ1	-0.763692200183868	0	0	0	0	coatomer protein complex, subunit zeta 1		COPZ1
COPZ2	-0.992746710777283	0	0	0	0	coatomer protein complex, subunit zeta 2		COPZ2
CORO6	-1.65382707118988	0	0	0	0	coronin 6		CORO6
COX6B1	-0.725043058395386	0	0	0	0	cytochrome c oxidase, subunit 6B1		COX6B1
CP	0.525128901004791	0	0	0	0	ceruloplasmin		CP
CPSF6	0.516382873058319	0	0	0	0	cleavage and polyadenylation specific factor 6		CPSF6
CPZ	-0.86668062210083	0	0	0	0	carboxypeptidase Z		CPZ
CRABP1	-0.927171647548676	0	0	0	0	cellular retinoic acid binding protein I		CRABP1
CREB3L1	-1.36055159568787	0	0	0	0	cAMP responsive element binding protein 3-like 1		CREB3L1
CRELD2	-0.708743929862976	0	0	0	0	cysteine-rich with EGF-like domains 2		CRELD2
CRIP1	-0.752100646495819	0	0	0	0	cysteine-rich protein 1 (intestinal)		CRIP1
CRIP2	-1.27637481689453	0	0	0	0	cysteine rich protein 2		CRIP2
CRTAP	-0.509703516960144	0	0	0	0	cartilage associated protein		CRTAP
CRYAB	-1.08619141578674	0	0	0	0	crystallin, alpha B		CRYAB
CRYBG3	0.562436163425446	0	0	0	0	beta-gamma crystallin domain containing 3		CRYBG3
CS	-0.584435760974884	0	0	0	0	citrate synthase		CS
CSNK1G1	0.690728485584259	0	0	0	0	casein kinase 1, gamma 1		CSNK1G1
