nct,cond,title,ivnames,u,outcome,cat,disp,growthdx,growthdrug,restore,arm,av,an,ref,rv,rn,diff,se,z,p
NCT00125164,Growth Disorders ; Insulin-Like Growth Factor-1 Deficiency,Prepubertal Children With Growth Failure Associated With Primary Insulin-Like Gr,"rhIGF-1 (mecasermin, Tercica, Inc.)",cm/yr,Height Velocity During the First Year - Intent to Treat (ITT)Population,,Standard Deviation,True,True,True,120 μg/kg BID (Twice Daily Dosing),7.7,49,Untreated,5.2,22,2.5,0.3023,8.27,0.0
NCT00125164,Growth Disorders ; Insulin-Like Growth Factor-1 Deficiency,Prepubertal Children With Growth Failure Associated With Primary Insulin-Like Gr,"rhIGF-1 (mecasermin, Tercica, Inc.)",cm/yr,Height Velocity During the First Year for Subjects - Completers,,Standard Deviation,True,True,True,80 μg/kg BID (Twice Daily Dosing),7.0,39,Untreated,5.2,21,1.8,0.2707,6.65,0.0
NCT00125164,Growth Disorders ; Insulin-Like Growth Factor-1 Deficiency,Prepubertal Children With Growth Failure Associated With Primary Insulin-Like Gr,"rhIGF-1 (mecasermin, Tercica, Inc.)",cm/yr,Height Velocity During the First Year for Subjects - Completers,,Standard Deviation,True,True,True,120 μg/kg BID (Twice Daily Dosing),7.9,43,Untreated,5.2,21,2.7,0.3053,8.844,0.0
NCT03625466,Cystic Fibrosis,A Study to Explore the Impact of Lumacaftor/Ivacaftor on Disease Progression in ,LUM/IVA ; LUM/IVA ; Placebo,Z,Part 1: Absolute Change in Stature-for-age Z-score at Week 48,,95% Confidence Interval,False,False,True,Part 1: LUM/IVA,0.09,35,Part 1: Placebo,0.1,16,-0.01,,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,Z,Change From Baseline in Height Z-score at Week 52.,,95% Confidence Interval,True,True,False,Randomized Vosoritide,-0.06,32,Randomized Placebo,-0.31,32,0.25,,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,Z,Change From Baseline in Height Z-score at Week 52.,,95% Confidence Interval,True,True,False,All Vosoritide,0.01,43,Randomized Placebo,-0.31,32,0.32,,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,Change From Baseline in Height at Week 52,,95% Confidence Interval,True,True,False,Randomized Vosoritide,8.15,32,Randomized Placebo,7.38,32,0.77,,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,Change From Baseline in Height at Week 52,,95% Confidence Interval,True,True,False,All Vosoritide,8.41,43,Randomized Placebo,7.38,32,1.03,,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm/yr,Change From Baseline in Annualized Growth Velocity (AGV) at Week 52,,95% Confidence Interval,True,True,False,Randomized Vosoritide,-2.17,32,Randomized Placebo,-2.95,32,0.78,,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm/yr,Change From Baseline in Annualized Growth Velocity (AGV) at Week 52,,95% Confidence Interval,True,True,False,All Vosoritide,-2.41,43,Randomized Placebo,-2.95,32,0.54,,,
