gene	youth_z
CDV3	0.3657
DOCK6	0.3657
HTT	0.3657
TMEM41A	0.3651
ILF3	0.3646
NUP153	0.3645
ARHGEF18	0.3642
UTP14A	0.3632
OGFR	0.3629
PITPNB	0.3627
CRYL1	0.3623
PDGFA	0.3623
SP2	0.3620
ADIPOR2	0.3620
OXSR1	0.3608
CDC37L1	0.3608
NAA25	0.3603
TTBK2	0.3593
RBM7	0.3591
STXBP2	0.3588
SCARB1	0.3573
FARSA	0.3571
PLCE1	0.3570
NDEL1	0.3567
MAPK8IP3	0.3567
ZFP608	0.3567
FNBP4	0.3565
GOLGA2	0.3565
BRD1	0.3562
ZFP110	0.3561
RHOT2	0.3557
SLC44A2	0.3557
MED24	0.3557
MXI1	0.3556
BBS1	0.3551
RBM28	0.3550
FAM20B	0.3548
GALNT1	0.3544
SMPD3	0.3543
RBM4B	0.3540
OCRL	0.3536
ZCCHC8	0.3535
PCID2	0.3533
TXNRD1	0.3532
PRKAR2A	0.3530
AP4E1	0.3526
EMP2	0.3524
RPL28	0.3524
NHLRC2	0.3521
EXOC4	0.3516
MYEF2	0.3515
CDK16	0.3513
DCP1A	0.3513
NELFCD	0.3512
THOC1	0.3509
CDK12	0.3506
NPLOC4	0.3505
KIF3A	0.3503
UBXN1	0.3501
SLC12A4	0.3497
ABCC1	0.3495
NPEPPS	0.3493
PRR5	0.3493
MTHFD1	0.3490
MED15	0.3489
CCDC97	0.3485
RPS6KB1	0.3482
GRAMD1A	0.3481
RALY	0.3480
SNAPC3	0.3477
DGKA	0.3476
BCAT1	0.3472
COPS8	0.3472
UGGT1	0.3472
ALG9	0.3471
SCAF1	0.3465
ISYNA1	0.3461
MTCH1	0.3459
BAZ2A	0.3458
MFAP3	0.3457
TMEM183A	0.3457
MLLT10	0.3456
NACC2	0.3455
SMAD4	0.3454
PSMB3	0.3453
MFAP1A	0.3452
CC2D1B	0.3449
GGA1	0.3439
VLDLR	0.3438
BHLHE40	0.3438
CIZ1	0.3429
ZFYVE16	0.3428
FXR2	0.3428
ARHGAP1	0.3421
RUNX2	0.3420
TSTD2	0.3418
YEATS2	0.3418
CFAP20	0.3417
DNAJC21	0.3416
CAMK1D	0.3408
SYVN1	0.3406
CTDP1	0.3405
ZMYND8	0.3400
RNF181	0.3399
NFAT5	0.3398
OS9	0.3397
FNBP1	0.3393
EIF2AK4	0.3391
SMAD7	0.3390
ADCY2	0.3389
FIS1	0.3384
DLG1	0.3382
GPCPD1	0.3380
TADA2A	0.3378
SAFB	0.3377
UPF3B	0.3374
KIF1C	0.3374
PBX3	0.3373
CCDC77	0.3371
RPL29	0.3367
DYNC2H1	0.3362
EMC1	0.3358
DCAF13	0.3357
INCENP	0.3355
PCDHGB7	0.3354
H1F0	0.3354
MAN2A2	0.3354
LOXL2	0.3343
CAMSAP1	0.3340
GNL2	0.3338
RBBP5	0.3337
BCL9L	0.3332
PSMD1	0.3329
GNA12	0.3327
IQGAP3	0.3325
RFX1	0.3324
SYF2	0.3323
SPTLC2	0.3322
SERINC5	0.3322
MRPS26	0.3320
PRKD3	0.3317
ALG11	0.3313
PSMC3	0.3308
EHBP1L1	0.3307
FCHSD2	0.3304
TTC1	0.3302
CCDC47	0.3300
FRS2	0.3299
EPN1	0.3298
FARP1	0.3297
EIF2AK3	0.3297
RAPGEF2	0.3296
CALR	0.3296
TRAF3	0.3295
GPATCH4	0.3294
NOLC1	0.3292
ZFP39	0.3291
GPRASP1	0.3290
USF2	0.3289
DROSHA	0.3284
DCAF8	0.3283
BBX	0.3282
PMS2	0.3279
TCHP	0.3279
MDM4	0.3274
GAA	0.3274
EIF3B	0.3272
SLC41A2	0.3272
DHX57	0.3272
EIF2S1	0.3270
PGM2	0.3270
NT5E	0.3266
SMPD4	0.3264
PWP1	0.3262
MBD6	0.3260
FAM222B	0.3259
PLEKHA5	0.3259
RAB4B	0.3259
SDCCAG8	0.3256
SEMA3D	0.3255
SLC35F6	0.3254
ARFGAP2	0.3251
RGL2	0.3251
USP33	0.3246
SBNO2	0.3244
GABBR1	0.3240
XRCC6	0.3240
SCAF4	0.3236
PLCG1	0.3234
ZFYVE26	0.3234
PPP1R7	0.3233
TANC2	0.3231
STK26	0.3231
DDX46	0.3231
UBA5	0.3228
PAM	0.3228
CYP51	0.3226
PCDHGA8	0.3223
ZFP346	0.3221
TNKS	0.3216
RAF1	0.3213
KIF3B	0.3208
PRKAG1	0.3206
ZER1	0.3204
PHRF1	0.3203
FBXO7	0.3201
SMTN	0.3200
SQSTM1	0.3200
RAI1	0.3199
RNF144A	0.3196
INPP4A	0.3193
TMIE	0.3191
CTSZ	0.3189
SPAG9	0.3189
IFT57	0.3188
SIPA1L3	0.3182
TAB2	0.3182
HIVEP2	0.3179
TMEM214	0.3171
UPF3A	0.3170
CHD6	0.3168
UBE3B	0.3167
ZSCAN21	0.3163
TBRG1	0.3156
KANK1	0.3153
USP8	0.3149
DIP2C	0.3147
ZFP445	0.3146
RNPC3	0.3146
ZKSCAN5	0.3142
SLC20A1	0.3141
DGKQ	0.3140
DDX19B	0.3138
BZW2	0.3138
NADK2	0.3137
FYTTD1	0.3136
SNRPA1	0.3135
TXLNG	0.3135
ZRANB2	0.3134
POLR2E	0.3130
EEF2	0.3128
MAP2K7	0.3127
UST	0.3124
LUC7L2	0.3122
NFRKB	0.3114
PARD3	0.3113
UBFD1	0.3112
FBXW8	0.3111
P4HA1	0.3105
PCSK7	0.3100
TUBGCP3	0.3099
PITPNM2	0.3099
OSBPL1A	0.3095
TCTA	0.3094
SOWAHC	0.3091
SHANK1	0.3089
STXBP1	0.3086
CHD8	0.3084
POP1	0.3084
CNOT10	0.3083
NCBP1	0.3080
UBA52	0.3075
ZFP142	0.3075
MATN3	0.3072
ATPAF2	0.3069
EDEM3	0.3069
TAF7	0.3069
EVC2	0.3066
TRAK1	0.3063
AGRN	0.3057
RABGAP1L	0.3057
IFT43	0.3056
TDRD3	0.3056
SMURF1	0.3053
EXTL1	0.3052
MYO1F	0.3052
POLR1A	0.3050
TUBA1C	0.3050
DDA1	0.3050
PMPCA	0.3050
ABL1	0.3048
