symbol	human_pure_cpm	human_purity_ratio	mt_baseMean	mt_lfc	ru_lfc	interaction_n3	interaction_n2	cartilage_enriched
Pcdh9	26.55	0.264	241.5	1.206	2.451	-1.245	-1.439	0
Cpq	49.44	0.26	1820.8	-1.037	0.217	-1.254	-1.787	0
Pid1	66.85	0.081	708.7	-0.993	0.3	-1.293	-1.497	0
Col9a1	6481.75	5.774	412820.0	-1.432	-0.128	-1.304	-1.295	1
Cpne2	27.94	1.202	1583.6	1.657	2.97	-1.313	-1.321	0
Scrg1	1532.13	13.326	5726.1	-1.411	-0.096	-1.315	-1.381	1
Ifitm10	77.41	0.778	182.8	-5.908	-4.57	-1.338	-1.941	0
Col9a3	6178.75	9.894	290546.7	-1.802	-0.461	-1.342	-1.346	1
Fbln7	38.29	1.527	5474.0	-0.76	0.612	-1.371	-1.503	0
Ddit4l	63.52	8.053	343.8	-4.5	-3.111	-1.388	-0.912	1
P3h2	167.84	0.345	2890.5	-1.456	-0.06	-1.396	-1.177	0
Fmod	2595.76	7.391	49457.3	-2.449	-1.022	-1.428	-2.012	1
Spock1	165.16	0.724	524.8	-4.154	-2.686	-1.467	-1.606	0
Mrps6	170.94	1.059	613.0	-1.74	-0.244	-1.496	-1.048	0
Sobp	59.11	0.658	1778.7	-1.375	0.182	-1.557	-1.324	0
Ndufa4l2	626.4	24.807	1490.6	-6.291	-4.671	-1.621	-1.3	1
Cnmd	1739.06	6.391	85305.7	-1.934	-0.296	-1.638	-1.446	1
Pcolce2	608.6	3.79	9603.3	-3.496	-1.846	-1.65	-1.592	1
Cilp2	32.95	3.248	523.4	-2.823	-1.137	-1.687	-2.018	1
Steap1	30.6	7.08	660.3	-1.739	-0.009	-1.73	-1.861	1
Pcdh10	39.81	1.929	397.5	-2.015	-0.277	-1.738	-1.122	0
Col2a1	70350.74	7.646	5045253.2	-2.365	-0.584	-1.781	-1.745	1
Il17b	280.54	5.451	302.5	-4.461	-2.653	-1.808	-1.276	1
Fbxo2	141.95	6.657	170.7	1.496	3.394	-1.897	-1.839	1
Tnnt3	27.54	9.023	714.8	-3.392	-1.446	-1.946	-3.144	1
Fuca2	23.34	2.82	1305.1	-3.502	-1.308	-2.194	-2.273	1
Barx1	28.13	16.084	116.0	-2.316	-0.029	-2.287	-2.676	1
Kcnq5	30.06	0.031	264.6	-2.879	-0.203	-2.675	-2.803	0
Cytl1	430.5	11.524	512.4	-2.825	-0.143	-2.682	-3.318	1
A2m	118.49	1.558	6336.5	-2.903	0.269	-3.172	-3.053	0
Omd	31.0	1.641	2659.7	-2.559	1.127	-3.686	-5.694	0
