TOTAL refs 1539 | with pmid 1427 | abstracts retrieved 1420
refs whose ABSTRACT reports a longitudinal LENGTH endpoint: 596
  ... of which the graph has NEVER recorded a quantitative finding: 231

ref_id	pmid	year	quant	score	human	title
nilsson2004	15380808	2004	NO	5		Fundamental limits on longitudinal bone growth: growth plate senescence and epiphyseal fusion
ozasa2005	15869918	2005	NO	5		Complementary antagonistic actions between C-type natriuretic peptide and the MAPK pathway through FGFR-3 in ATDC5
perry2008	17980691	2008	NO	5		Impaired growth plate function in bmp-6 null mice
pomeroy2021	33431970	2021	NO	5	Y	Population history and ecology, in addition to climate, influence human stature and body proportions
serrat2013	23956063	2013	NO	5		Allen''s rule revisited: temperature influences bone elongation during a critical period of postnatal development
serrat2017	28798204	2017	NO	5		Imaging IGF-I uptake in growth plate cartilage using in vivo multiphoton microscopy
tatsi2017	29264551	2017	NO	5		Aggrecan Mutations in Nonfamilial Short Stature and Short Stature Without Accelerated Skeletal Maturation
villemure2009	19540500	2009	NO	5	Y	Growth plate mechanics and mechanobiology. A survey of present understanding
wales1987	3827294	1987	NO	5	Y	Knemometry in assessment of linear growth
white2023	37246759	2023	NO	5		Dysregulation of insulin-like growth factor-1 signaling in postnatal bone elongation
widn2010	20398887	2010	NO	5	Y	Distinct variants at LIN28B influence growth in height from birth to adulthood
zhang2025	41613437	2025	NO	5		Primary cilia in growth plates orchestrate long bone development
abe2012	22719050	2012	NO	4		Monocarboxylate transporter 10 functions as a thyroid hormone transporter in chondrocytes
arnold2007	17336904	2007	NO	4		MEF2C transcription factor controls chondrocyte hypertrophy and bone development
baron1994	7925098	1994	NO	4		Catch-up growth after glucocorticoid excess: a mechanism intrinsic to the growth plate
bassett2006	16223867	2006	NO	4		Thyroid hormone regulates heparan sulfate proteoglycan expression in the growth plate
carlone2021	33438789	2021	NO	4	Y	Telomerase expression marks transitional growth-associated skeletal progenitor/stem cells
chrysis2005	15576458	2005	NO	4		Dexamethasone induces apoptosis in proliferative chondrocytes through activation of caspases and suppression of
gevers2002	12162495	2002	NO	4		Localization and regulation of the growth hormone receptor and growth hormone-binding protein in the rat growth
hallett2021_2	34137454	2021	NO	4		The hypertrophic chondrocyte: To be or not to be
harboe2024	39215168	2024	NO	4		The metalloproteinase PAPP-A is required for IGF-dependent chondrocyte differentiation and organization
hppner2025	40455993	2025	NO	4		A mouse model of Jansen's metaphyseal chondrodysplasia for investigating disease mechanisms and candidate therapeutics
hsieh2021	34365025	2021	NO	4		Chondrocyte Tsc1 controls cranial base bone development by restraining the premature differentiation of synchondroses
hung2016	26794256	2016	NO	4		A combined series of Fgf9 and Fgf18 mutant alleles identifies unique and redundant roles in skeletal development
karimian2024	39778406	2024	NO	4	Y	Age of menarche and final height in patients with permanent congenital hypothyroidism
karp2000	10631175	2000	NO	4		Indian hedgehog coordinates endochondral bone growth and morphogenesis via parathyroid hormone related-protein-dependent
kaviani2015	26019113	2015	NO	4		Compressive mechanical modulation alters the viability of growth plate chondrocytes in vitro
kaviani2016	26452368	2016	NO	4	Y	Growth plate cartilage shows different strain patterns in response to static versus dynamic mechanical modulation
larnkjr2026	42002262	2026	NO	4	Y	Plasma Amino Acids as Correlates of Serum Insulin-Like Growth Factor 1, Linear Growth, and Fat-Free Mass: A Cross-Sectio
lee2017	29100092	2017	NO	4		Mutations in Fibronectin Cause a Subtype of Spondylometaphyseal Dysplasia with "Corner Fractures
li2009	19224985	2009	NO	4		Noncanonical frizzled signaling regulates cell polarity of growth plate chondrocytes
liu2002	11937493	2002	NO	4		Coordination of chondrogenesis and osteogenesis by fibroblast growth factor 18
lui2011	21865751	2011	NO	4		Growth plate senescence and catch-up growth
lui2014	24489814	2014	NO	4		Broad shifts in gene expression during early postnatal life are associated with shifts in histone methylation patterns
macrae2009	18803233	2009	NO	4		Increased bone mass, altered trabecular architecture and modified growth plate organization in the growing skeleton
mcbrien2011	21470252	2011	NO	4		Growth dynamics of the canine proximal tibial physis
mosssalentijn1991	2050577	1991	NO	4		Computer simulations of chondrocytic clone behaviour in rabbit growth plates
mundlos1997	9182765	1997	NO	4		Mutations involving the transcription factor CBFA1 cause cleidocranial dysplasia
nilsson1986	3523759	1986	NO	4		Regulation by growth hormone of number of chondrocytes containing IGF-I in rat growth plate
noda2020	31693237	2020	NO	4		An Inverse Agonist Ligand of the PTH Receptor Partially Rescues Skeletal Defects in a Mouse Model of Jansen's Metaphysea
olney2012	22435455	2012	NO	4	Y	Amino-terminal propeptide of C-type natriuretic peptide (NTproCNP) predicts height velocity in healthy children
oz2001	11564607	2001	NO	4	Y	Expression of aromatase in the human growth plate
park2012	22477008	2012	NO	4		Altered cellular kinetics in growth plate according to alterations in weight bearing
phornphutkul2008	18265001	2008	NO	4		mTOR signaling contributes to chondrocyte differentiation
rodrguez2025	40475877	2025	NO	4		Exploring the impact of mechanical stimuli on growth plate morphology and trabecular adaptation: A finite element
romereim2014	24764078	2014	NO	4		A dynamic cell adhesion surface regulates tissue architecture in growth plate cartilage
satoh2015	26568655	2015	NO	4	Y	Bone age: assessment methods and clinical applications
schwarzer2016	26912894	2016	NO	4		Lactobacillus plantarum strain maintains growth of infant mice during chronic undernutrition
staines2018	29417047	2018	NO	4	Y	A Computed Microtomography Method for Understanding Epiphyseal Growth Plate Fusion
stegen2020	32470321	2020	NO	4		Glutamine Metabolism Controls Chondrocyte Identity and Function
tamura2004	15572448	2004	NO	4		Critical roles of the guanylyl cyclase B receptor in endochondral ossification and development of female reproductive
tesch2003	12510812	2003	NO	4		Orientation of mineral crystallites and mineral density during skeletal development in mice deficient in tissue
warrell1979	422478	1979	NO	4		The role of periosteal tension in the growth of long bones
yuasa2009	19815716	2009	NO	4		Transient activation of Wnt/{beta}-catenin signaling induces abnormal growth plate closure and articular cartilage
zhang2023_2	36980807	2023	NO	4		Roles of Local Soluble Factors in Maintaining the Growth Plate: An Update
barreto1994	8146454	1994	NO	3		Hypertrophic chondrocyte volume and growth rates in avian growth plates
costajnior2024	38800625	2024	NO	3		Association of <i>ZBTB38</i> gene polymorphism (rs724016) with height and fetal hemoglobin in individuals with
cotterill2005	16287128	2005	NO	3	Y	Multiple epiphyseal dysplasia mutations in MATN3 cause misfolding of the A-domain and prevent secretion of mutant
erkula2002	11977157	2002	NO	3		Growth and maturation in Marfan syndrome
farnum1989a	2589219	1989	NO	3		Condensation of hypertrophic chondrocytes at the chondro-osseous junction of growth plate cartilage in Yucatan
gao2011	21316585	2011	NO	3	Y	Wnt signaling gradients establish planar cell polarity by inducing Vangl2 phosphorylation through Ror2
hauer2017	28939912	2017	NO	3		Genetic screening confirms heterozygous mutations in ACAN as a major cause of idiopathic short stature
hermanussen1998	9661976	1998	NO	3		Short-term growth: evidence for chaotic series of mini growth spurts in rat growth
holmgren2017	28424059	2017	NO	3	Y	Insight into human pubertal growth by applying the QEPS growth model
huckert2015	25669657	2015	NO	3	Y	Mutations in the latent TGF-beta binding protein 3 (LTBP3) gene cause brachyolmia with amelogenesis imperfecta
naski1996	8640234	1996	NO	3	Y	Graded activation of fibroblast growth factor receptor 3 by mutations causing achondroplasia and thanatophoric
ostria2026	41520458	2026	NO	3		The growth plate: Zonal architecture, plasticity, and endocrine control of linear growth
pritchett1997	9005920	1997	NO	3	Y	Growth and growth prediction of the fibula
rauch2005	16172510	2005	NO	3		Bone growth in length and width: the Yin and Yang of bone stability
richard2025	39549696	2025	NO	3	Y	Functional genomics of human skeletal development and the patterning of height heritability
richardson2025	40106116	2025	NO	3	Y	Effects of childhood and adult height on later life cardiovascular disease risk estimated through Mendelian randomizatio
sayers2013	23461542	2013	NO	3	Y	A new family of mathematical models describing the human growth curve-Erratum: direct calculation of peak height
sentchordimont2025	40129139	2025	NO	3		Moderate to Severe Short Stature and Joint Involvement in Individuals With ACAN Deletions
zhang2024a	39655393	2024	NO	3	Y	Genomic Effects of Biomechanical Loading in Adolescent Human Growth Plate Cartilage: A Pilot Study
johnson1996	8940335	1996	NO	2		Is growth saltatory? The usefulness and limitations of frequency distributions in analyzing pulsatile data
bahar2025	40564714	2025	NO	1		Final Adult Height in Girls Treated with GnRH Analogues for Precocious Puberty Around Age Eight
beunen2006	16540852	2006	NO	1		Blunted growth velocity in female artistic gymnasts
briggs1995	7670472	1995	NO	1		Pseudoachondroplasia and multiple epiphyseal dysplasia due to mutations in the cartilage oligomeric matrix protein
dentice2005	15965468	2005	NO	1		The Hedgehog-inducible ubiquitin ligase subunit WSB-1 modulates thyroid hormone activation and PTHrP secretion
han2025a	41383963	2025	NO	1		Single-cell transcriptome analysis reveals elongation and ossification characteristics of antlers
hellemans2003	12632327	2003	NO	1		Homozygous mutations in IHH cause acrocapitofemoral dysplasia, an autosomal recessive disorder with cone-shaped
kozhemyakina2015	25715393	2015	NO	1		A pathway to bone: signaling molecules and transcription factors involved in chondrocyte development and maturation
langenskild1998	9531398	1998	NO	1		Role of the ossification groove of Ranvier in normal and pathologic bone growth: a review
odgren2016	26818783	2016	NO	1		The cast of clasts: catabolism and vascular invasion during bone growth, repair, and disease by osteoclasts, chondroclas
potter2024	38713083	2024	NO	1		Phosphorylation-Dependent Regulation of Guanylyl Cyclase (GC)-A and Other Membrane GC Receptors
usami2019	30602070	2019	NO	1		Possible Contribution of Wnt-Responsive Chondroprogenitors to the Postnatal Murine Growth Plate
wu2025	40581360	2025	NO	1		Early determination of the dorsal-ventral axis in endochondral ossification in mice
yang2003	12538525	2003	NO	1		Wnt5a and Wnt5b exhibit distinct activities in coordinating chondrocyte proliferation and differentiation
zhang2024	38253890	2024	NO	1		Rheb1 is required for limb growth through regulating chondrogenesis in growth plate
alashwal2026	39657622	2026	YES	8	Y	Long-Term Treatment for Laron Syndrome with IGF-1 Injection over 22 Years in Saudi Arabia: A Cohort Study
albin2012	23075676	2012	YES	8	Y	Estradiol and pubertal growth in girls
albin2013	23988590	2013	YES	8	Y	Pubertal growth and serum testosterone and estradiol levels in boys
alvarezgarcia2007	17370095	2007	YES	8	Y	Rapamycin retards growth and causes marked alterations in the growth plate of young rats
arya2020	33238275	2020	YES	8	Y	Acromesomelic Dysplasia, Type Maroteaux: Impact of Long-Term (8 Years) High-Dose Growth Hormone Treatment on Growth
avijgan2026br	42552306	2026	YES	8	Y	Human growth plates house resting zone sub-populations with features of quiescent stem cells
bannink2007	17504895	2007	YES	8	Y	Free/dissociable insulin-like growth factor (IGF)-I, not total IGF-I, correlates with growth response during growth
