gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
DNMBP-AS1,1.12,2.44,0.00,0.00,3.66,2.70,0.08,2.12,3.39,0.06,0.00,0.45,1.05,0.05,1.96
ERLIN1,14.50,10.35,6.90,11.36,19.47,12.90,16.90,11.06,9.06,17.92,30.65,9.15,9.25,11.39,19.61
CHUK,7.81,10.06,3.22,4.55,18.30,13.01,9.18,12.28,11.31,12.01,14.52,10.94,9.80,8.11,11.76
AL138921.1,0.00,0.12,0.23,0.00,0.33,0.12,0.04,0.00,0.15,0.06,1.61,0.00,0.13,0.10,0.00
CWF19L1,14.87,12.51,4.25,9.09,19.30,13.95,9.07,13.55,12.11,10.27,16.13,8.93,11.73,6.59,13.73
BLOC1S2,6.69,7.94,7.70,11.36,13.48,11.72,15.98,9.42,11.69,21.39,32.26,6.70,8.92,13.06,17.65
SCD,17.84,10.55,35.29,25.00,48.09,16.53,86.84,21.92,4.12,92.35,40.32,10.27,3.48,70.53,19.61
OLMALINC,24.91,10.47,24.71,11.36,49.75,19.11,47.04,26.57,6.54,53.17,30.65,14.96,8.92,36.28,13.73
SEC31B,10.78,10.88,7.01,2.27,9.65,9.96,5.84,7.36,9.18,5.91,14.52,7.14,8.46,5.02,15.69
NDUFB8,14.87,26.60,30.00,25.00,17.97,36.81,61.51,12.97,29.35,77.36,72.58,10.94,29.06,47.75,60.78
HIF1AN,15.24,11.32,15.52,13.64,17.47,10.32,22.66,12.55,10.46,27.00,37.10,9.15,8.42,19.85,27.45
AL138762.1,0.37,1.02,2.41,0.00,1.33,1.64,1.31,0.37,0.56,1.97,0.00,0.22,0.80,1.29,1.96
