gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
KAZN,75.46,42.93,12.64,13.64,60.90,27.32,23.94,47.91,20.12,26.52,30.65,43.75,23.53,18.60,27.45
AL357873.1,8.92,16.42,0.00,0.00,2.66,5.63,0.00,2.59,2.18,0.00,0.00,4.02,6.41,0.00,0.00
KAZN-AS1,10.04,14.05,0.00,0.00,3.00,4.34,0.00,3.02,1.69,0.00,0.00,4.24,5.44,0.00,0.00
AL031293.1,0.74,1.51,0.34,4.55,0.00,0.35,0.16,0.26,0.22,0.18,0.00,0.45,0.88,0.30,0.00
TMEM51-AS1,1.12,1.18,0.34,2.27,2.00,1.29,0.12,3.12,1.84,0.24,0.00,2.23,1.09,0.37,0.00
TMEM51,7.06,8.43,1.03,0.00,7.99,4.34,1.27,13.45,13.03,2.33,4.84,9.60,6.28,1.84,9.80
FHAD1,0.74,2.44,0.23,0.00,6.16,3.40,0.12,5.13,4.77,0.18,0.00,4.69,3.39,0.22,9.80
AL031283.2,0.00,0.53,0.00,0.00,0.67,0.59,0.04,1.54,1.79,0.00,0.00,0.89,0.54,0.02,3.92
AL031283.1,0.00,0.20,1.38,0.00,2.33,0.23,2.98,1.16,0.44,3.58,1.61,0.45,0.46,1.96,0.00
EFHD2,9.29,18.62,11.15,11.36,22.46,29.89,36.78,14.93,25.71,50.78,43.55,13.84,24.04,31.14,37.25
CTRC,0.37,0.65,0.00,0.00,0.83,1.76,0.56,1.01,1.28,0.24,0.00,1.34,0.92,0.25,0.00
CELA2B,1.86,0.77,0.00,0.00,1.00,1.29,0.00,1.32,1.79,0.00,0.00,0.67,0.75,0.00,0.00
CASP9,9.29,4.97,3.45,0.00,14.31,6.57,5.33,14.66,8.77,6.69,11.29,8.71,5.78,4.35,9.80
DNAJC16,18.96,13.69,14.71,6.82,23.13,14.42,24.21,18.21,15.25,31.66,37.10,13.39,9.97,19.15,35.29
AGMAT,1.49,2.04,2.41,4.55,1.66,2.58,3.34,1.11,2.47,5.14,9.68,0.67,2.39,3.43,1.96
AL121992.1,0.74,0.37,0.23,0.00,1.33,0.35,0.28,0.58,0.61,0.18,0.00,0.45,0.42,0.22,1.96
DDI2,18.22,15.56,13.68,13.64,30.95,22.27,23.30,24.25,19.44,28.08,30.65,16.74,13.23,18.35,27.45
PLEKHM2,27.88,21.47,13.91,4.55,30.28,20.98,21.15,30.44,26.22,24.97,35.48,23.66,18.47,17.91,23.53
SLC25A34,2.23,2.08,2.18,0.00,2.83,0.82,1.43,1.80,1.82,1.02,1.61,2.46,1.42,1.07,1.96
SLC25A34-AS1,0.00,0.61,0.00,0.00,0.00,0.35,0.00,0.16,0.56,0.00,4.84,0.00,0.13,0.05,0.00
TMEM82,0.74,1.10,0.00,0.00,0.83,0.59,0.00,0.48,0.90,0.00,0.00,0.67,0.50,0.00,0.00
FBLIM1,11.90,10.51,4.60,9.09,3.66,2.70,0.76,5.82,5.08,1.67,32.26,6.92,5.36,1.89,19.61
UQCRHL,1.49,0.45,0.57,0.00,0.83,0.59,0.72,1.06,0.73,0.78,0.00,0.45,0.34,0.67,3.92
AL450998.2,4.46,6.52,4.48,2.27,12.65,6.10,4.14,8.73,7.38,3.29,9.68,7.81,4.44,3.33,7.84
SPEN,53.53,37.60,20.00,25.00,61.90,40.68,26.64,58.55,43.66,33.09,53.23,49.11,35.93,23.45,60.78
ZBTB17,5.20,7.25,4.94,4.55,10.82,6.45,8.87,8.15,9.23,11.11,17.74,6.47,6.99,8.26,7.84
HSPB7,0.37,0.33,0.69,0.00,0.50,0.23,0.28,0.74,0.73,0.42,3.23,0.22,1.47,0.60,13.73
CLCNKB,0.00,0.04,0.23,0.00,0.00,0.00,0.24,0.11,0.02,0.06,0.00,0.00,0.00,0.15,3.92
FAM131C,0.74,0.16,0.23,0.00,0.50,0.23,1.39,0.11,0.05,0.30,0.00,0.00,0.29,0.45,1.96
EPHA2,5.20,2.73,3.22,2.27,7.65,2.58,5.69,5.61,3.90,3.17,20.97,6.03,4.19,4.45,31.37
AL451042.1,0.74,0.12,0.00,0.00,0.50,0.00,0.04,0.64,0.10,0.00,0.00,1.34,0.13,0.10,1.96
ARHGEF19,4.83,6.07,11.84,11.36,13.48,8.21,29.22,8.21,4.24,26.76,16.13,7.59,6.28,18.30,33.33
AL109627.1,0.74,0.57,0.92,4.55,1.16,1.29,1.43,0.48,0.77,2.75,3.23,0.22,0.59,1.54,3.92
CPLANE2,1.12,1.02,0.92,0.00,1.66,0.94,1.79,0.90,1.07,3.94,3.23,0.67,0.88,2.41,3.92
FBXO42,43.87,33.28,11.49,6.82,45.26,30.01,16.26,39.60,29.18,17.98,30.65,32.37,23.79,13.58,35.29
SZRD1,16.36,18.04,25.06,36.36,25.29,21.81,43.46,18.16,19.73,45.46,50.00,12.50,18.01,32.73,54.90
SPATA21,2.23,4.64,0.23,0.00,1.83,4.22,0.16,1.27,5.42,0.24,0.00,1.56,4.69,0.20,0.00
NECAP2,7.06,12.59,13.10,6.82,12.65,17.00,24.81,9.05,15.45,31.72,38.71,6.47,12.86,20.37,31.37
LINC01772,2.60,2.81,0.80,0.00,3.33,2.81,1.35,2.65,2.64,2.57,1.61,1.56,2.39,1.09,0.00
AL137802.2,0.37,0.41,0.92,2.27,1.16,0.59,0.52,0.69,0.36,1.08,0.00,0.22,0.25,0.45,1.96
LINC01783,0.37,0.33,0.11,2.27,1.16,0.23,0.08,0.90,0.27,0.00,0.00,0.67,0.25,0.07,0.00
NBPF1,18.59,14.05,17.36,9.09,29.95,13.01,19.80,17.89,8.35,21.92,17.74,16.52,8.04,16.26,21.57
CROCC,26.39,18.94,6.21,9.09,30.12,18.76,7.16,29.65,23.75,8.54,11.29,21.43,17.13,6.27,13.73
BX284668.2,2.23,0.29,0.00,0.00,1.00,0.00,0.04,0.64,0.10,0.00,0.00,0.45,0.13,0.02,0.00
BX284668.5,2.23,2.97,5.86,9.09,1.33,3.28,9.42,0.69,3.22,9.92,20.97,0.22,2.85,7.01,21.57
BX284668.6,0.37,0.12,0.57,2.27,0.50,0.47,0.56,0.48,0.19,0.36,4.84,0.22,0.38,0.57,3.92
MFAP2,3.72,5.82,52.41,38.64,1.00,7.15,6.68,0.69,1.26,4.12,11.29,2.23,2.14,10.30,19.61
AL049569.1,2.23,2.40,0.00,0.00,2.33,3.87,0.00,0.95,1.50,0.00,0.00,0.45,1.76,0.00,0.00
ATP13A2,8.18,8.15,14.48,6.82,12.15,13.25,19.13,6.67,7.97,16.07,9.68,8.26,6.28,15.89,15.69
SDHB,13.01,14.95,12.18,6.82,16.81,17.00,24.29,13.34,16.32,36.98,33.87,11.38,12.94,19.95,29.41
PADI2,1.49,0.53,0.00,0.00,1.16,1.17,0.00,4.82,1.55,0.00,0.00,1.79,0.21,0.07,0.00
RCC2,17.84,15.52,11.38,13.64,27.29,22.86,31.45,20.54,23.08,28.79,38.71,20.09,15.95,19.65,39.22
ARHGEF10L,26.77,10.79,3.22,4.55,25.12,5.74,3.78,25.99,11.31,5.44,6.45,25.67,6.78,3.68,15.69
LINC02810,1.49,0.33,0.00,0.00,0.33,0.35,0.00,0.48,0.46,0.00,0.00,0.45,0.04,0.00,0.00
IGSF21,5.95,8.11,1.38,0.00,2.50,1.88,0.04,4.08,7.82,0.18,0.00,2.23,0.84,0.12,0.00
ALDH4A1,1.86,1.91,0.69,0.00,2.33,1.29,2.15,2.12,1.74,3.23,6.45,1.34,1.09,2.21,1.96
IFFO2,11.52,8.11,0.80,0.00,20.80,13.48,1.59,15.46,9.25,5.44,14.52,19.87,11.43,4.73,15.69
UBR4,47.96,27.78,7.82,11.36,58.90,30.60,14.27,49.60,27.34,16.43,27.42,41.29,24.54,11.39,31.37
EMC1-AS1,21.56,20.98,1.95,0.00,29.62,22.04,3.62,24.99,24.46,4.90,4.84,21.65,17.71,3.31,5.88
EMC1,12.27,15.44,25.98,25.00,20.80,20.75,55.19,12.97,13.63,65.41,45.16,10.27,12.35,43.84,41.18
MRTO4,7.06,6.68,10.11,11.36,15.47,10.90,27.95,8.79,7.77,36.32,30.65,7.14,6.87,21.21,35.29
AKR7A3,1.12,0.41,0.11,0.00,0.33,0.47,0.91,0.58,0.34,0.36,0.00,0.67,0.25,0.55,0.00
AKR7A2,6.69,8.96,17.24,18.18,8.32,14.30,38.77,5.35,9.42,44.09,33.87,3.79,7.41,28.18,39.22
SLC66A1,0.74,2.69,1.61,2.27,3.00,3.40,4.41,2.49,3.85,5.02,9.68,3.12,2.22,3.93,7.84
CAPZB,55.76,57.52,28.28,22.73,63.23,66.82,54.19,58.97,60.75,69.30,62.90,56.25,60.13,45.59,66.67
MICOS10,11.90,26.68,30.69,27.27,13.31,31.54,61.03,12.12,26.90,72.40,69.35,8.48,26.72,44.62,64.71
AL031727.2,1.86,1.34,0.00,0.00,0.83,1.52,0.00,1.96,2.08,0.00,0.00,2.23,1.97,0.00,0.00
NBL1,13.01,12.34,9.20,9.09,10.98,5.74,13.12,11.01,5.59,11.17,25.81,15.40,10.51,8.60,52.94
TMCO4,21.56,15.19,4.02,2.27,25.29,17.35,5.17,23.56,19.93,6.39,14.52,15.85,14.53,4.97,5.88
OTUD3,11.15,6.44,8.05,2.27,17.80,8.68,11.09,11.70,6.39,12.37,12.90,10.49,6.16,8.56,19.61
PLA2G2A,2.97,1.10,19.43,2.27,8.32,1.29,12.37,2.59,0.24,10.39,6.45,2.01,0.13,9.77,1.96
PLA2G5,4.46,2.20,3.56,0.00,0.33,0.47,0.32,1.22,0.58,0.72,1.61,6.47,4.61,0.77,13.73
PLA2G2D,0.00,0.37,0.00,0.00,0.00,0.23,0.04,0.00,2.01,0.06,0.00,0.00,0.34,0.00,0.00
UBXN10-AS1,0.00,0.16,0.23,0.00,0.33,0.47,1.63,0.21,0.15,1.85,0.00,0.00,0.08,1.17,0.00
UBXN10,0.37,0.37,2.30,2.27,2.00,0.70,3.54,1.59,0.12,4.78,3.23,0.89,0.13,3.33,0.00
CAMK2N1,15.61,5.34,19.89,13.64,15.14,5.51,19.96,6.51,2.01,12.90,16.13,5.36,3.22,14.45,13.73
MUL1,3.35,4.32,10.80,2.27,4.49,5.86,19.09,3.92,4.02,23.00,24.19,2.46,2.93,15.37,7.84
FAM43B,1.49,1.14,12.53,0.00,1.16,2.70,12.56,1.11,0.27,27.24,19.35,0.67,0.25,11.49,1.96
CDA,1.12,0.20,0.46,0.00,1.00,0.94,3.10,1.96,0.90,9.98,9.68,0.22,0.21,2.91,1.96
PINK1,7.43,7.58,16.67,22.73,7.49,8.44,32.68,8.21,10.63,63.68,58.06,5.36,6.32,32.08,35.29
PINK1-AS,2.97,4.28,1.15,0.00,8.49,4.45,1.83,4.02,4.62,2.45,3.23,2.46,2.68,1.74,3.92
DDOST,8.55,16.29,24.37,15.91,16.97,22.74,54.43,10.59,22.18,65.47,51.61,6.03,13.27,42.00,50.98
KIF17,1.49,0.86,0.00,0.00,2.00,0.59,0.12,1.43,1.72,0.48,11.29,0.45,0.34,0.22,0.00
SH2D5,0.00,0.00,0.00,0.00,0.33,0.23,0.60,0.21,0.05,0.96,1.61,0.00,0.04,0.80,0.00
HP1BP3,70.63,52.79,55.98,61.36,74.38,56.86,76.86,62.94,51.40,81.48,83.87,55.58,47.82,65.28,78.43
EIF4G3,73.23,63.05,21.72,22.73,79.70,58.15,30.93,72.53,67.97,45.94,50.00,58.04,48.16,29.47,49.02
ECE1,31.23,18.78,5.75,9.09,25.29,20.75,2.62,28.80,27.34,2.21,32.26,22.54,15.75,2.26,7.84
NBPF3,7.81,4.97,1.84,2.27,13.64,4.69,4.02,7.20,2.71,6.21,9.68,5.58,3.22,2.98,5.88
ALPL,32.34,19.27,19.89,34.09,5.16,3.28,38.53,15.67,4.33,76.52,40.32,14.29,5.95,45.41,66.67
LINC02596,5.20,1.67,0.34,0.00,3.00,2.34,0.64,4.45,0.46,1.85,8.06,3.35,0.71,1.29,7.84
RAP1GAP,2.23,2.28,1.15,0.00,3.16,3.28,3.18,2.22,2.11,2.63,0.00,1.79,0.84,1.82,0.00
USP48,43.12,40.49,25.40,18.18,58.74,46.78,42.98,47.70,47.89,45.82,37.10,36.61,36.73,31.98,47.06
LDLRAD2,1.12,2.04,5.06,2.27,3.16,5.51,4.21,1.96,2.62,5.97,12.90,0.67,1.17,3.81,5.88
HSPG2,55.76,32.42,60.80,34.09,71.88,31.54,98.61,54.95,21.91,98.39,72.58,32.14,13.74,92.51,76.47
LINC01635,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.00,1.61,0.00,0.13,0.05,0.00
LINC00339,1.49,4.28,7.01,0.00,4.16,3.99,10.54,2.75,5.69,10.51,8.06,1.34,3.98,8.63,7.84
CDC42,41.26,44.36,44.37,43.18,56.91,55.69,74.67,49.23,51.11,87.04,83.87,39.96,47.95,62.94,70.59
CDC42-AS1,4.46,2.04,0.00,0.00,6.99,3.28,0.40,5.51,2.54,1.19,4.84,2.23,2.09,0.45,0.00
CDC42-IT1,1.86,1.10,1.49,0.00,4.66,1.64,1.71,3.65,1.77,2.81,6.45,2.23,1.59,2.14,3.92
WNT4,1.49,1.14,2.76,0.00,7.99,3.75,16.74,4.02,1.79,23.84,11.29,2.46,1.84,13.35,7.84
AL445253.1,0.74,1.10,0.34,0.00,1.50,1.41,1.19,1.16,1.16,2.63,4.84,0.67,0.21,1.99,1.96
ZBTB40,15.61,15.48,8.28,0.00,28.45,16.88,15.11,21.81,18.62,16.55,20.97,20.31,16.25,12.73,17.65
C1QA,5.95,28.43,4.71,2.27,1.16,11.14,0.91,6.09,26.97,0.90,0.00,2.46,11.39,1.34,1.96
C1QC,1.86,18.70,4.14,2.27,0.67,4.34,0.36,2.06,15.28,0.36,0.00,0.67,3.81,0.82,0.00
C1QB,1.86,21.34,4.14,0.00,0.00,7.39,0.36,3.28,19.27,0.60,1.61,0.67,5.32,1.17,0.00
EPHB2,8.18,5.30,0.92,0.00,4.16,2.11,0.72,3.49,5.86,0.42,0.00,2.68,1.17,0.50,0.00
KDM1A,25.65,19.92,22.41,31.82,38.10,26.96,46.28,26.73,19.69,55.38,48.39,19.20,16.29,35.81,35.29
AL031428.1,10.41,11.28,0.00,0.00,13.31,11.72,0.00,11.01,11.45,0.00,0.00,7.81,8.71,0.00,0.00
LUZP1,41.26,26.80,15.75,6.82,54.74,33.65,31.73,43.46,26.27,34.29,37.10,38.62,24.46,22.76,27.45
LINC01355,11.15,7.17,12.41,6.82,15.97,7.74,15.03,11.59,5.21,11.29,9.68,7.59,4.98,11.37,9.80
AL109936.6,2.23,2.61,0.00,0.00,1.16,2.46,0.16,1.16,1.91,0.06,0.00,0.67,2.05,0.10,0.00
HNRNPR,46.84,41.02,51.26,47.73,64.89,47.01,70.89,48.28,38.40,73.36,69.35,35.04,35.39,57.97,62.75
ZNF436,5.20,2.93,2.53,2.27,4.16,2.34,4.97,2.70,2.15,5.50,16.13,2.68,1.59,4.13,11.76
ZNF436-AS1,2.60,1.43,1.38,0.00,2.16,1.64,1.67,1.22,0.80,1.02,1.61,1.79,1.21,1.44,5.88
AL109936.2,0.00,0.04,0.57,0.00,0.67,0.23,1.47,0.26,0.10,1.49,0.00,0.00,0.04,0.57,0.00
TCEA3,18.96,9.45,16.44,15.91,27.95,14.42,37.14,16.78,5.01,37.34,32.26,16.29,7.54,25.24,39.22
ASAP3,28.62,7.98,5.29,6.82,26.62,4.92,12.56,17.42,2.78,9.74,8.06,12.28,3.73,7.66,15.69
E2F2,0.00,0.24,0.00,0.00,2.83,5.16,3.06,0.69,0.87,0.18,0.00,0.67,0.38,0.32,0.00
ID3,7.43,17.43,16.78,25.00,12.48,15.12,37.10,11.33,19.15,53.11,51.61,12.05,15.41,31.39,60.78
MDS2,0.00,0.65,0.00,0.00,0.33,0.70,0.00,0.74,1.50,0.06,0.00,0.67,0.92,0.00,0.00
RPL11,52.04,91.32,98.51,90.91,69.38,97.30,99.56,55.27,93.05,99.40,96.77,51.12,95.69,95.97,98.04
ELOA-AS1,13.38,11.61,2.64,0.00,17.64,14.07,4.17,11.70,12.06,4.06,6.45,8.26,10.51,3.16,1.96
ELOA,14.50,10.55,13.45,11.36,21.46,15.12,33.04,13.76,11.96,47.25,35.48,13.17,9.17,27.16,41.18
PITHD1,15.24,17.31,18.62,20.45,19.47,26.85,35.71,11.81,17.51,36.98,46.77,12.72,17.34,24.30,39.22
LYPLA2,1.49,7.49,10.34,13.64,6.32,10.20,22.47,4.45,8.89,28.02,25.81,2.23,7.58,18.65,19.61
GALE,2.97,3.42,14.02,9.09,10.82,6.21,24.57,7.25,3.17,40.26,22.58,3.35,3.81,23.97,15.69
HMGCL,9.29,11.69,10.11,2.27,13.64,11.25,16.14,9.74,10.22,18.16,30.65,5.36,7.79,12.43,27.45
FUCA1,4.09,8.80,10.69,4.55,6.16,7.97,17.81,4.76,9.90,23.60,30.65,3.57,4.98,15.64,13.73
CNR2,0.37,4.81,0.23,0.00,2.50,7.97,0.20,4.08,12.25,0.00,0.00,2.01,6.91,0.02,0.00
PNRC2,19.70,17.92,19.20,20.45,26.79,29.78,34.99,19.59,20.48,37.63,50.00,16.52,17.59,27.16,33.33
SRSF10,43.87,34.34,53.33,40.91,59.40,47.25,74.00,44.47,35.16,79.81,75.81,33.71,33.04,61.08,58.82
MYOM3,0.37,0.08,0.00,0.00,1.50,0.12,0.12,2.01,0.36,0.00,0.00,0.22,0.08,0.07,0.00
IL22RA1,0.00,0.41,0.00,0.00,0.00,0.23,0.12,0.16,1.48,0.00,0.00,0.22,0.29,0.00,0.00
IFNLR1,1.49,2.48,1.95,0.00,8.49,5.74,2.43,5.88,11.69,2.27,3.23,1.56,3.18,2.16,1.96
STPG1,5.58,3.22,4.02,4.55,11.15,4.10,5.45,7.52,3.03,6.63,12.90,3.79,2.22,4.80,7.84
NIPAL3,10.04,12.95,8.51,9.09,28.45,17.58,13.68,16.78,15.52,19.53,30.65,15.62,14.11,13.88,17.65
RCAN3AS,2.23,2.69,0.46,0.00,4.99,3.40,0.48,3.02,1.82,0.72,0.00,2.01,3.35,0.32,0.00
RCAN3,14.13,10.92,15.63,22.73,26.79,17.00,18.53,17.58,8.86,22.10,22.58,12.50,16.83,15.72,13.73
NCMAP-DT,0.00,1.18,1.03,0.00,1.16,2.23,1.11,0.64,1.04,0.66,3.23,0.22,1.63,0.62,0.00
NCMAP,1.49,0.94,1.15,0.00,1.16,1.06,0.12,1.06,1.94,0.36,0.00,0.45,0.80,0.37,0.00
SRRM1,47.58,47.82,53.68,52.27,58.74,60.14,77.38,48.07,47.14,81.60,75.81,40.18,45.64,61.97,66.67
CLIC4,66.17,37.31,41.72,54.55,66.89,31.07,68.87,65.06,46.32,84.89,80.65,47.99,16.46,59.34,58.82
RUNX3,36.06,37.88,40.46,20.45,72.21,63.54,84.61,42.24,34.58,83.69,38.71,38.84,51.47,71.87,25.49
AL445471.2,0.00,0.20,0.11,0.00,0.17,0.35,0.60,0.21,0.02,1.25,0.00,0.00,0.25,0.67,7.84
AL050344.1,0.37,1.51,0.00,0.00,0.33,2.34,0.00,0.16,0.48,0.00,0.00,1.56,3.02,0.02,0.00
SYF2,13.01,23.79,26.44,15.91,10.65,31.30,28.07,13.82,27.43,38.59,61.29,14.51,26.01,26.86,62.75
AL031432.4,1.49,1.47,1.61,0.00,2.33,1.06,2.23,2.75,1.36,3.29,4.84,1.79,1.59,2.29,1.96
AL031432.5,0.00,0.08,0.23,0.00,0.17,0.12,0.12,0.05,0.07,0.00,1.61,0.00,0.13,0.05,0.00
RSRP1,61.71,68.76,58.85,63.64,61.73,76.67,62.98,61.30,71.45,70.49,72.58,54.46,68.01,59.66,72.55
AL031432.3,0.00,0.20,0.11,0.00,0.00,0.23,0.28,0.16,0.12,0.30,0.00,0.00,0.21,0.30,1.96
RHD,4.09,8.64,0.00,0.00,2.66,9.61,0.12,1.59,6.95,0.12,0.00,1.56,7.66,0.07,1.96
TMEM50A,16.73,28.96,18.85,38.64,19.97,32.94,42.90,16.30,26.54,59.20,61.29,16.07,29.31,34.34,66.67
RHCE,1.12,1.96,0.46,0.00,2.00,5.98,1.07,1.96,1.72,1.31,0.00,1.56,1.97,1.12,0.00
MACO1,29.00,23.91,10.57,20.45,40.77,28.72,27.55,32.66,26.46,41.04,43.55,31.92,22.15,26.66,37.25
LDLRAP1,7.43,9.29,9.20,2.27,13.31,12.90,27.32,12.71,9.47,56.09,24.19,9.82,12.65,28.97,31.37
AL606491.1,0.37,1.22,0.00,0.00,1.00,1.29,0.24,1.38,1.91,0.36,1.61,1.56,1.30,0.25,0.00
MAN1C1,27.51,24.85,8.97,22.73,25.79,16.53,7.08,19.32,15.13,10.81,22.58,15.85,15.70,10.12,11.76
AL031280.1,2.60,4.40,0.46,2.27,1.50,2.11,0.36,1.01,2.45,0.48,1.61,0.00,2.93,0.85,3.92
SELENON,6.32,12.26,12.76,15.91,10.98,8.09,20.04,9.26,11.67,23.60,48.39,9.60,9.00,15.15,54.90
AL020996.1,0.74,1.18,1.61,0.00,0.50,1.06,1.03,0.64,0.97,0.90,4.84,0.22,0.84,0.92,0.00
MTFR1L,7.06,8.39,16.09,11.36,8.82,7.85,25.25,5.93,7.75,28.97,19.35,3.57,6.57,19.87,19.61
AUNIP,1.12,1.02,0.00,0.00,1.66,1.88,1.27,1.01,0.90,0.00,0.00,0.22,0.42,0.22,0.00
AL033528.2,0.00,0.86,0.00,0.00,0.50,0.82,0.04,1.16,1.82,0.06,0.00,0.89,0.54,0.00,0.00
PAQR7,4.83,4.64,7.01,11.36,4.99,3.99,10.34,3.86,3.87,10.57,14.52,4.02,1.68,8.70,15.69
STMN1,5.95,15.03,8.16,11.36,14.31,22.04,29.30,7.46,17.80,18.94,46.77,6.25,15.79,17.48,45.10
PAFAH2,9.67,7.33,13.22,13.64,13.48,9.38,15.75,9.74,6.37,17.74,25.81,4.46,7.29,14.30,23.53
EXTL1,8.18,6.88,48.62,20.45,23.13,13.60,71.05,12.71,1.82,78.97,33.87,4.69,2.64,58.59,35.29
SLC30A2,0.00,0.65,2.30,0.00,0.83,0.94,0.64,0.26,0.17,0.48,0.00,0.00,0.34,0.72,3.92
TRIM63,0.00,0.65,0.11,0.00,0.17,0.23,0.16,0.05,0.65,0.60,0.00,0.22,0.25,0.20,3.92
PDIK1L,2.60,3.83,2.87,9.09,6.16,4.10,3.70,4.50,7.00,3.46,12.90,2.90,3.39,3.11,13.73
FAM110D,0.37,0.16,1.03,0.00,0.50,0.82,0.83,0.69,0.70,1.73,6.45,0.22,0.75,1.09,15.69
ZNF593,3.72,4.15,19.89,11.36,8.65,9.14,38.77,6.19,7.63,53.76,35.48,4.24,3.64,32.43,43.14
CNKSR1,1.12,0.49,1.03,2.27,3.83,0.82,3.98,1.96,1.26,5.85,4.84,0.89,0.42,3.93,0.00
CEP85,5.58,4.36,4.37,4.55,18.80,8.09,17.38,8.21,4.24,17.98,14.52,5.13,3.35,10.89,7.84
SH3BGRL3,8.55,41.55,35.52,27.27,16.81,59.20,64.29,13.87,50.97,88.77,80.65,10.49,54.56,57.17,70.59
UBXN11,3.35,6.97,5.86,9.09,5.16,7.74,8.87,4.71,8.06,8.18,8.06,1.56,5.44,6.24,3.92
CD52,1.12,24.28,0.11,0.00,3.00,35.29,0.16,2.86,34.14,0.00,1.61,3.35,37.02,0.30,1.96
CRYBG2,0.37,0.94,0.00,0.00,0.17,1.06,0.00,0.16,1.45,0.00,0.00,0.22,1.17,0.00,0.00
ZNF683,0.00,3.79,0.00,0.00,0.00,5.51,0.00,0.05,2.32,0.00,0.00,0.45,5.95,0.00,0.00
LIN28A,0.00,0.12,0.23,0.00,0.00,0.00,0.08,0.16,0.10,0.30,1.61,0.22,0.00,0.17,0.00
DHDDS,10.04,9.45,10.46,2.27,25.46,11.49,29.62,17.63,10.61,39.78,32.26,10.27,8.21,22.18,25.49
AL513365.2,4.83,2.85,0.11,0.00,3.66,2.81,0.04,2.81,2.13,0.06,0.00,1.79,1.42,0.12,0.00
HMGN2,25.65,45.62,65.86,68.18,36.27,58.03,82.86,25.67,48.40,84.83,80.65,18.75,43.51,69.86,82.35
RPS6KA1,3.72,11.24,3.68,2.27,9.15,15.59,8.39,6.19,16.95,7.29,3.23,5.13,11.56,4.95,5.88
AL512408.1,0.74,0.20,0.34,2.27,0.33,0.00,0.24,0.37,0.19,0.18,0.00,0.00,0.21,0.20,0.00
ARID1A,43.87,50.18,30.46,29.55,57.74,55.69,45.69,49.44,55.40,54.60,59.68,40.85,48.70,37.68,47.06
PIGV,2.23,4.20,4.25,0.00,4.66,5.16,7.83,2.17,3.58,11.11,9.68,2.68,4.44,7.16,3.92
ZDHHC18,3.35,8.84,4.71,0.00,11.65,11.96,14.04,9.00,10.56,13.38,11.29,6.70,11.22,8.88,17.65
SFN,0.00,0.20,0.11,0.00,1.33,0.59,1.63,0.64,0.22,0.90,1.61,0.00,0.08,1.09,0.00
GPN2,12.27,9.04,5.75,2.27,16.47,10.55,12.88,10.75,9.71,15.89,14.52,11.38,8.33,9.67,11.76
GPATCH3,2.23,2.61,3.45,4.55,2.66,3.17,4.73,3.39,3.41,6.81,6.45,3.35,2.35,4.55,13.73
NUDC,28.62,33.81,43.79,13.64,48.59,49.47,68.19,37.37,40.22,74.13,46.77,26.79,36.81,52.97,43.14
KDF1,0.37,2.69,0.34,0.00,1.16,2.93,0.48,0.85,3.78,0.60,0.00,0.22,2.35,0.27,1.96
TRNP1,3.35,2.32,3.33,2.27,5.99,2.11,5.88,3.86,1.77,6.63,3.23,2.46,0.96,4.68,1.96
TENT5B,0.00,0.77,0.92,2.27,1.33,0.23,0.72,1.80,1.11,1.91,0.00,0.89,0.29,0.75,0.00
SLC9A1,29.74,17.68,4.25,0.00,30.45,16.88,8.59,25.04,17.26,10.81,14.52,23.66,13.78,6.32,13.73
AL590640.1,1.12,0.00,0.00,0.00,0.17,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00
WDTC1,20.45,14.30,8.05,9.09,20.80,18.99,13.16,18.16,19.61,17.14,30.65,15.40,14.28,11.76,23.53
TMEM222,6.69,12.10,14.71,6.82,13.98,10.90,21.35,9.00,10.46,23.89,29.03,6.03,10.43,16.69,27.45
SYTL1,1.86,11.89,13.56,4.55,9.15,19.46,34.00,6.09,15.98,33.57,19.35,3.35,17.50,24.35,5.88
MAP3K6,6.32,7.09,10.92,11.36,11.98,7.97,16.50,7.41,5.04,18.70,20.97,6.92,5.78,14.60,15.69
FCN3,0.37,1.38,0.46,0.00,1.00,1.29,0.68,0.74,1.65,0.30,3.23,0.22,0.25,0.40,0.00
CD164L2,0.37,1.10,6.67,6.82,1.66,2.23,5.33,0.37,0.46,2.09,0.00,0.00,0.08,3.66,0.00
GPR3,0.00,0.16,0.34,0.00,0.50,0.00,0.48,0.37,0.19,0.66,1.61,0.00,0.13,0.37,0.00
WASF2,52.42,57.03,43.45,38.64,58.90,55.80,60.87,54.79,65.96,66.25,72.58,43.08,47.11,50.78,56.86
FO393419.2,0.00,1.79,0.00,0.00,0.83,1.52,0.04,0.48,2.32,0.00,0.00,0.22,1.17,0.00,0.00
AHDC1,45.72,20.00,23.33,31.82,54.74,20.05,29.50,37.74,19.25,35.36,29.03,30.36,14.45,28.00,39.22
