gene,pct_donor1,pct_donor2,pct_donor3,pct_donor4,n_donors_detected
IFNA13,0.02,0.02,0.01,0.00,0
MIR31HG,1.47,0.82,0.00,0.26,1
IFNA1,0.00,0.01,0.00,0.00,0
IFNE,0.00,0.02,0.00,0.00,0
MTAP,27.20,30.17,21.17,18.80,4
AL359922.2,0.06,0.20,0.08,0.26,0
CDKN2A-DT,0.04,0.00,0.01,0.00,0
CDKN2A,3.72,4.55,6.02,1.04,4
CDKN2B-AS1,5.89,4.45,3.87,1.04,4
AL449423.1,0.02,0.01,0.02,0.00,0
CDKN2B,2.72,1.72,1.94,2.61,4
AL157937.1,0.02,0.02,0.02,0.00,0
DMRTA1,1.68,0.75,16.65,3.39,3
LINC01239,1.78,1.41,0.36,0.00,2
AL391117.1,0.53,0.58,0.23,0.00,0
AC017067.1,0.02,0.01,0.01,0.00,0
AL445623.2,0.36,0.29,0.05,0.00,0
ELAVL2,0.70,0.28,0.08,0.78,0
AL365204.1,0.00,0.01,0.00,0.00,0
AL365204.2,0.02,0.01,0.00,0.00,0
IZUMO3,0.09,0.03,0.00,0.00,0
AL353811.1,0.00,0.02,0.00,0.00,0
AL353730.1,0.02,0.02,0.22,0.00,0
TUSC1,1.25,2.87,28.41,13.84,4
LINC01241,0.11,0.16,0.01,0.00,0
AL353753.1,0.09,0.07,0.00,0.00,0
AL451137.2,0.06,0.04,0.00,0.00,0
AL356133.2,0.00,0.04,0.00,0.00,0
CAAP1,18.00,19.34,13.30,11.23,4
PLAA,15.24,12.03,13.11,12.79,4
IFT74,15.09,13.21,12.54,11.49,4
IFT74-AS1,0.04,0.04,0.05,0.00,0
LRRC19,0.09,0.53,0.04,0.26,0
AL355432.1,0.21,0.31,0.04,0.26,0
TEK,7.01,4.86,0.64,8.88,3
EQTN,0.08,0.10,0.03,0.78,0
MOB3B,14.47,16.16,3.40,10.44,4
AL163192.1,0.02,0.04,0.00,0.00,0
AL451123.2,0.17,0.09,0.05,0.26,0
IFNK,0.02,0.02,0.01,0.26,0
AL451123.1,0.34,1.66,0.08,1.04,2
C9orf72,24.19,31.22,6.36,9.14,4
