gene,pct_donor1,pct_donor2,pct_donor3,pct_donor4,n_donors_detected
CABLES1,13.45,13.14,0.44,1.83,3
TMEM241,18.41,17.47,5.11,2.87,4
AC011731.1,0.06,0.06,0.09,0.00,0
RIOK3,28.95,28.02,39.56,26.11,4
RMC1,10.03,14.89,4.78,6.27,4
NPC1,34.43,33.98,17.32,12.79,4
ANKRD29,4.31,2.29,0.44,8.36,3
LAMA3,6.74,2.87,0.54,5.48,3
AC010754.1,2.12,0.99,0.00,0.26,1
TTC39C,32.39,40.57,4.31,4.96,4
TTC39C-AS1,0.47,1.74,0.04,0.26,1
AC090772.2,0.87,6.96,0.00,0.00,1
AC090772.1,0.43,2.35,0.13,0.00,1
CABYR,3.08,4.74,0.20,0.26,2
AC090772.3,0.68,0.36,2.39,0.52,1
OSBPL1A,25.59,17.81,50.48,20.89,4
AC023983.1,0.08,0.29,0.01,0.00,0
AC023983.2,0.06,0.07,0.03,0.26,0
IMPACT,6.04,7.61,29.37,17.49,4
AC007922.2,0.17,0.07,0.08,0.52,0
HRH4,0.47,0.40,0.13,0.00,0
AC007922.1,0.00,0.02,0.00,0.00,0
AC007922.4,0.02,0.02,0.02,0.00,0
AC007922.3,0.02,0.02,0.00,0.00,0
LINC01915,0.09,0.18,0.07,0.26,0
AC018697.1,0.19,0.21,0.00,0.00,0
LINC01894,0.23,0.10,0.02,0.00,0
AC104961.1,0.00,0.01,0.00,0.00,0
ZNF521,24.70,10.80,7.01,10.18,4
AC105114.2,0.25,0.93,0.04,0.52,0
AC110603.1,0.04,0.02,0.00,0.00,0
SS18,35.11,29.55,37.28,21.41,4
PSMA8,0.25,0.71,0.01,0.00,0
TAF4B,27.21,20.83,8.17,3.13,4
AC121320.1,0.43,0.12,0.11,0.00,0
LINC01543,0.09,0.18,0.01,0.00,0
KCTD1,10.33,5.77,5.92,5.48,4
AC007996.1,0.45,0.26,1.38,1.57,2
AC090206.1,0.21,0.08,0.64,0.78,0
AQP4-AS1,1.23,0.49,0.09,0.26,1
AC012588.1,0.04,0.00,0.20,0.52,0
PCAT18,0.04,0.05,0.02,0.00,0
AC018371.1,0.00,0.01,0.00,0.00,0
AQP4,0.02,0.02,0.16,0.00,0
CHST9,0.70,0.22,0.58,0.00,0
LINC01908,0.00,0.05,0.03,0.00,0
AC090403.1,0.23,0.16,0.04,0.26,0
AC021382.1,0.00,0.00,0.01,0.00,0
AC068408.1,0.02,0.00,0.01,0.00,0
AC068408.2,0.00,0.01,0.00,0.00,0
CDH2,6.33,3.83,4.85,15.67,4
AC110015.1,0.08,0.06,0.68,0.52,0
AC006249.1,0.08,0.01,0.03,0.26,0
AC090365.1,0.02,0.11,0.00,0.00,0
AC074237.1,0.00,0.01,0.00,0.00,0
AC117569.2,0.04,0.04,0.00,0.00,0
AC115100.1,0.00,0.02,0.00,0.00,0
AC090506.1,0.00,0.02,0.01,0.00,0
DSC3,0.06,0.08,0.74,0.00,0
DSC2,1.00,1.60,1.51,7.83,4
DSCAS,0.08,0.30,0.02,0.52,0
DSC1,0.06,0.09,0.00,0.52,0
DSG1,0.08,0.02,0.05,0.00,0
DSG1-AS1,0.04,0.09,0.00,0.00,0
DSG4,0.04,0.03,0.00,0.00,0
DSG3,0.09,0.10,0.04,0.00,0
AC021549.1,0.00,0.00,0.04,0.00,0
DSG2,7.23,2.88,36.00,11.49,4
DSG2-AS1,0.04,0.07,0.02,0.26,0
TTR,0.40,0.08,0.00,0.00,0
B4GALT6,7.04,5.49,12.18,8.09,4
AC017100.1,0.08,0.12,0.57,0.78,0
SLC25A52,0.02,0.02,0.02,0.26,0
TRAPPC8,34.05,32.55,14.50,15.93,4
AC022960.1,0.47,0.67,0.07,0.52,0
AC022960.2,0.17,0.07,0.27,0.78,0
AC009831.1,0.28,0.53,0.53,0.26,0
RNF125,22.93,24.38,1.48,8.88,4
AC009831.3,1.08,0.88,0.14,2.09,2
AC011825.4,0.17,0.65,0.16,0.52,0
RNF138,29.71,24.79,17.64,16.45,4
AC011825.2,0.21,0.40,0.20,0.26,0
GAREM1,29.10,16.27,33.48,9.92,4
MEP1B,0.42,0.36,0.02,0.00,0
AC015563.1,0.36,0.14,0.71,0.00,0
AC015563.2,0.04,0.07,0.02,0.00,0
AC025887.2,1.81,4.03,0.25,0.00,2
AC009835.1,0.02,0.09,0.00,0.00,0
AC025887.1,0.00,0.00,0.01,0.00,0
KLHL14,2.57,7.86,0.01,1.31,3
AC012123.1,0.25,0.57,0.01,0.26,0
AC090371.2,0.08,0.13,0.00,0.00,0
CCDC178,1.04,1.67,0.05,1.57,3
AC090371.1,0.00,0.01,0.01,0.00,0
AC091198.1,0.02,0.02,0.00,0.00,0
ASXL3,0.38,0.54,0.03,0.00,0
NOL4,0.19,0.31,0.00,0.00,0
DTNA,17.13,11.77,5.51,9.66,4
AC022601.1,0.06,0.22,0.00,0.00,0
AC068506.1,0.08,0.04,0.03,0.00,0
MAPRE2,43.32,40.59,18.97,25.33,4
AC015967.1,1.06,0.78,0.59,0.52,1
ZNF397,12.80,13.79,12.23,16.19,4
ZSCAN30,14.09,9.69,15.19,17.75,4
AC011815.2,0.87,1.24,0.81,0.52,1
AC011815.1,0.96,0.64,0.90,1.04,1
AC116447.1,0.06,0.06,0.16,0.00,0
ZNF24,22.12,19.98,59.46,38.64,4
ZNF396,0.89,1.03,1.61,2.35,3
AC007998.4,0.13,0.15,0.29,0.52,0
AC007998.3,0.19,0.32,0.02,1.04,1
INO80C,6.97,6.21,7.11,9.66,4
GALNT1,42.76,36.17,61.78,42.56,4
AC090220.1,0.81,0.25,0.52,0.26,0
AC090229.1,0.89,0.66,1.23,0.00,1
AC118757.1,0.17,0.28,0.01,0.00,0
C18orf21,2.49,4.38,9.40,8.88,4
RPRD1A,21.55,23.17,27.01,20.10,4
SLC39A6,14.15,13.44,63.41,27.94,4
ELP2,28.61,25.73,44.20,23.50,4
AC023043.1,0.08,0.13,0.46,0.26,0
MOCOS,2.55,1.47,1.93,1.31,4
AC023043.4,0.04,0.04,0.38,0.26,0
FHOD3,7.20,4.00,0.63,7.83,3
AC055840.1,0.00,0.01,0.00,0.26,0
TPGS2,9.41,10.76,23.39,16.97,4
KIAA1328,34.98,32.66,9.22,10.18,4
AC016493.1,0.66,3.14,0.02,0.00,1
AC015961.1,0.00,0.02,0.03,0.26,0
CELF4,0.76,0.90,0.59,0.52,0
AC015961.2,0.93,0.94,1.05,0.26,1
AC009899.1,0.57,0.09,0.00,0.00,0
AC108452.1,0.00,0.02,0.00,0.00,0
MIR924HG,6.87,2.16,3.28,0.52,3
AC011139.1,0.15,0.09,0.00,0.00,0
AC099845.1,0.04,0.02,0.01,0.00,0
LINC01901,0.06,0.08,0.00,0.00,0
LINC01902,0.32,0.18,0.10,0.52,0
LINC01477,0.00,0.03,0.00,0.00,0
AC079052.1,0.08,0.15,0.00,0.00,0
AC021504.1,1.64,0.26,0.20,0.00,1
PIK3C3,33.09,31.83,26.77,19.06,4
AC087683.2,0.23,0.17,0.45,0.78,0
AC087683.3,0.04,0.04,0.00,0.00,0
LINC00907,3.34,3.42,0.24,0.26,2
AC084335.1,0.00,0.00,0.03,0.00,0
RIT2,0.40,0.29,0.05,0.00,0
SYT4,0.02,0.02,0.36,0.00,0
AC110014.1,0.15,0.25,0.00,0.00,0
LINC01478,2.66,2.80,0.18,0.00,2
AC120049.1,0.30,0.33,0.92,1.83,1
SETBP1,45.50,37.47,17.64,17.49,4
AC090376.1,0.13,0.17,0.00,0.00,0
SLC14A2,1.30,1.60,0.14,0.00,2
SLC14A2-AS1,0.13,0.43,0.00,0.00,0
AC021517.1,0.04,0.02,0.01,0.26,0
AC021517.2,0.04,0.10,0.00,0.00,0
AC091151.1,0.04,0.02,0.00,0.00,0
AC091151.5,0.23,0.46,0.00,0.00,0
AC023421.2,0.79,3.04,0.01,0.00,1
AC023421.1,0.00,0.01,0.12,0.00,0
SLC14A1,11.82,12.55,36.59,16.71,4
SIGLEC15,0.42,0.40,0.05,0.52,0
EPG5,30.33,27.64,14.48,18.54,4
PSTPIP2,11.46,21.09,21.61,5.48,4
ATP5F1A,15.60,29.17,69.50,38.90,4
HAUS1,6.91,8.28,11.72,12.53,4
C18orf25,28.59,23.07,18.56,14.10,4
RNF165,2.78,4.97,0.72,1.31,3
AC018931.1,0.00,0.01,0.00,0.00,0
LOXHD1,0.43,0.90,0.02,0.26,0
ST8SIA5,0.96,0.57,0.19,0.00,0
AC090241.2,0.25,1.06,0.07,0.52,1
AC090241.3,0.36,0.20,0.12,0.52,0
PIAS2,31.86,28.69,31.70,23.24,4
KATNAL2,4.65,7.51,1.13,3.92,4
ELOA2,0.00,0.02,0.00,0.00,0
AC012254.1,2.34,5.77,0.01,0.00,2
AC012254.3,0.08,0.15,0.04,0.26,0
HDHD2,18.09,15.01,23.82,14.10,4
IER3IP1,16.75,16.59,72.42,28.72,4
SKOR2,0.21,0.02,0.00,0.00,0
AC051635.1,0.02,0.00,0.00,0.00,0
MIR4527HG,0.09,0.03,0.00,0.00,0
SMAD2,42.40,43.23,47.94,36.55,4
AC120349.1,0.06,0.20,0.01,0.00,0
ZBTB7C,26.18,8.53,5.43,10.44,4
AC105101.2,0.19,0.53,0.03,0.00,0
CTIF,28.93,11.98,13.87,6.27,4
AC048380.1,0.21,0.32,0.00,0.00,0
AC093567.1,1.87,0.94,0.00,0.00,1
SMAD7,36.98,21.21,35.35,33.16,4
AC114684.1,0.08,0.01,0.00,0.00,0
AC016866.1,0.25,0.47,0.02,0.00,0
DYM,60.60,59.06,24.77,15.93,4
AC016866.2,0.26,0.91,0.00,0.00,0
AC044840.1,0.26,1.05,0.00,0.00,1
AC100778.1,0.02,0.01,0.00,0.00,0
AC100778.4,0.02,0.02,0.01,0.00,0
C18orf32,8.22,17.88,34.96,32.64,4
AC100778.2,0.38,0.24,0.05,0.00,0
AC100778.3,0.09,0.23,0.01,0.00,0
RPL17,52.82,89.38,97.72,84.07,4
LINC02837,0.06,0.00,0.00,0.26,0
LIPG,2.27,0.22,1.83,0.26,2
AC090227.3,0.00,0.01,0.00,0.00,0
ACAA2,6.55,11.77,22.69,13.58,4
SNHG22,13.69,13.45,8.89,18.80,4
MYO5B,14.81,3.09,9.98,5.22,4
AC091044.1,0.04,0.00,0.14,0.00,0
CFAP53,2.72,2.56,1.83,1.31,4
AC090246.1,0.09,0.04,0.07,0.00,0
MBD1,10.29,11.98,16.35,10.97,4
CXXC1,3.34,8.34,15.45,8.88,4
AC105227.1,0.21,0.14,0.01,0.00,0
SKA1,0.57,0.40,2.31,0.78,1
MAPK4,0.68,0.33,0.04,0.00,0
MRO,0.30,0.97,0.43,1.57,1
ME2,19.15,28.68,10.02,24.28,4
ELAC1,4.72,3.90,7.11,4.44,4
SMAD4,31.01,28.92,42.84,33.94,4
MEX3C,16.19,18.19,23.39,16.97,4
LINC01630,0.23,0.19,0.02,0.00,0
AC016383.2,0.00,0.02,0.02,0.26,0
DCC,2.97,2.01,0.57,0.00,2
LINC01917,0.62,0.61,0.09,0.00,0
LINC01919,0.13,0.29,0.01,0.00,0
MBD2,34.52,38.18,29.46,23.50,4
AC093462.1,0.59,0.39,0.93,1.04,1
POLI,12.43,8.91,12.47,12.27,4
STARD6,0.25,0.09,0.07,0.00,0
C18orf54,3.61,2.48,5.68,6.79,4
DYNAP,0.00,0.00,0.01,0.00,0
RAB27B,4.04,6.21,0.53,7.31,3
AC007673.1,0.00,0.02,0.00,0.00,0
AC098848.1,0.21,0.21,0.02,0.52,0
CCDC68,12.43,9.02,13.12,20.37,4
LINC01929,0.02,0.04,0.01,0.00,0
TCF4,56.19,49.30,66.52,61.10,4
TCF4-AS1,0.98,2.38,0.00,0.00,1
TCF4-AS2,0.15,0.29,0.08,3.13,1
AC022031.2,0.72,0.45,0.01,0.00,0
LINC01415,0.15,0.08,0.19,0.52,0
AC027584.1,0.00,0.00,0.01,0.00,0
LINC01416,1.45,0.50,0.02,0.00,1
AC009271.1,0.57,0.42,0.67,0.26,0
AC006305.1,0.28,0.23,0.01,0.00,0
AC009271.2,0.02,0.14,0.36,0.52,0
LINC01905,0.11,0.19,0.01,0.00,0
LINC01539,0.02,0.00,0.01,0.00,0
AC006305.3,0.04,0.03,0.01,0.00,0
TXNL1,19.68,19.84,38.42,24.54,4
WDR7,42.42,46.07,8.82,10.70,4
AC012301.1,0.00,0.09,0.00,0.00,0
WDR7-OT1,0.13,0.11,0.01,0.00,0
AC012301.2,0.04,0.02,0.01,0.00,0
LINC-ROR,0.02,0.19,0.03,0.00,0
AC090340.1,0.00,0.00,0.02,0.00,0
ONECUT2,0.57,0.05,0.58,0.52,0
FECH,5.53,7.09,12.07,10.70,4
AC100847.1,0.15,0.22,0.37,0.78,0
NARS,14.66,16.58,35.09,25.33,4
AC027097.1,4.65,5.41,7.91,4.44,4
AC027097.2,22.42,22.17,4.83,3.13,4
ATP8B1,16.51,23.74,2.40,9.66,4
NEDD4L,16.49,12.33,2.86,9.40,4
AC107896.1,0.00,0.02,0.00,0.00,0
AC090236.2,0.19,0.02,0.19,0.00,0
MIR122HG,0.00,0.02,0.03,0.00,0
ALPK2,0.83,0.81,0.03,0.00,0
AC105105.3,0.00,0.01,0.01,0.00,0
AC105105.1,0.08,0.10,0.00,0.00,0
AC104971.2,0.09,0.05,0.00,0.00,0
AC104971.3,0.02,0.43,0.00,0.00,0
AC104971.1,0.04,0.09,0.39,0.26,0
MALT1,37.94,39.98,17.35,13.84,4
AC104365.1,2.95,13.38,0.00,0.00,2
AC104365.3,0.04,0.13,0.00,0.00,0
AC104365.2,0.00,0.02,0.00,0.00,0
LINC01926,0.15,0.22,0.00,0.00,0
ZNF532,31.35,21.19,21.52,22.45,4
AC040963.1,0.00,0.01,0.04,0.00,0
SEC11C,6.36,21.03,17.36,18.54,4
GRP,0.08,0.66,2.35,0.00,1
CPLX4,0.57,0.70,0.02,0.00,0
LMAN1,29.22,27.06,75.32,43.08,4
AC016229.2,0.21,0.11,0.03,0.00,0
CCBE1,5.38,5.44,1.11,3.13,4
AC016229.1,0.00,0.12,0.00,0.00,0
AC090213.1,0.02,0.06,0.00,0.00,0
AC010776.1,0.04,0.03,0.00,0.00,0
AC010776.2,0.00,0.02,0.03,0.00,0
AC010776.3,0.04,0.03,0.02,0.00,0
PMAIP1,9.05,11.90,1.83,7.57,4
AC090377.1,0.02,0.01,0.03,0.00,0
AC090771.2,0.08,0.21,0.00,0.00,0
AC090621.1,0.02,0.02,0.00,0.00,0
AC091576.1,0.09,0.11,0.00,0.00,0
MC4R,0.02,0.03,0.00,0.00,0
AC113137.1,0.30,0.25,0.03,0.00,0
CDH20,0.23,0.53,0.03,0.00,0
AC090409.2,0.23,0.11,0.03,0.00,0
AC090409.1,0.06,0.09,0.15,0.78,0
AC105094.2,1.30,0.25,0.01,0.00,1
LINC01544,0.00,0.02,0.00,0.00,0
RNF152,10.65,4.86,1.51,8.62,4
PIGN,23.04,25.85,26.23,15.67,4
RELCH,28.23,40.96,14.17,16.71,4
AC027514.1,0.53,0.52,0.36,1.31,1
TNFRSF11A,3.59,6.57,0.23,1.57,3
AC100843.1,0.02,0.22,0.00,0.00,0
ZCCHC2,29.56,29.00,8.54,8.62,4
AC064801.1,0.13,0.14,0.08,0.26,0
PHLPP1,41.10,29.22,5.28,6.01,4
BCL2,55.62,53.30,28.24,22.45,4
AC022726.1,0.21,0.08,0.04,0.26,0
AC022726.2,0.04,0.31,0.03,0.00,0
KDSR,23.95,14.17,46.79,27.15,4
AC036176.1,2.85,2.73,2.75,1.57,4
VPS4B,21.00,25.25,30.18,27.15,4
SERPINB5,0.02,0.01,0.00,0.00,0
SERPINB12,0.00,0.00,0.02,0.00,0
SERPINB13,0.02,0.01,0.00,0.00,0
SERPINB4,0.00,0.00,0.01,0.00,0
SERPINB11,0.06,0.02,0.00,0.00,0
SERPINB7,0.06,0.05,0.00,0.00,0
SERPINB2,0.06,0.01,0.00,0.00,0
SERPINB10,0.02,0.02,0.00,0.00,0
HMSD,0.08,0.11,0.00,0.00,0
AC009802.1,0.13,0.09,0.05,0.00,0
SERPINB8,1.68,2.85,0.59,2.09,3
LINC01924,0.30,0.28,0.00,0.00,0
LINC00305,0.00,0.03,0.00,0.00,0
LINC01538,0.02,0.05,0.00,0.00,0
AC090348.1,0.04,0.03,0.00,0.00,0
LINC01916,0.08,0.06,0.00,0.00,0
AC090358.1,0.00,0.05,0.00,0.00,0
CDH7,0.23,0.12,0.03,0.00,0
CDH19,11.18,0.96,24.47,3.66,3
AC110597.1,0.47,0.09,0.30,0.52,0
DSEL,10.33,3.03,14.40,12.53,4
AC110597.3,0.00,0.01,0.03,0.00,0
AC114689.3,6.01,1.08,0.05,0.00,2
AC022655.1,0.45,0.34,0.00,0.00,0
AC100844.1,0.02,0.02,0.00,0.00,0
AC068112.1,0.02,0.02,0.00,0.00,0
AC005909.2,0.57,0.21,0.02,0.00,0
AC005909.1,0.00,0.01,0.00,0.00,0
TMX3,19.79,23.93,24.17,22.19,4
CCDC102B,10.73,11.49,1.37,9.66,4
AC040896.1,0.11,0.20,0.08,0.26,0
AC096708.2,0.04,0.03,0.00,0.00,0
AC096708.3,0.02,0.05,0.04,0.00,0
AC090337.1,0.21,0.15,0.09,1.83,1
AC090337.2,0.04,0.07,0.00,0.00,0
AC026585.1,0.00,0.01,0.32,0.26,0
DOK6,21.83,13.46,10.63,8.09,4
AC119868.2,0.94,1.13,0.01,0.00,1
AC068254.1,0.45,0.60,0.00,0.00,0
CD226,12.28,17.66,1.18,4.18,4
RTTN,21.19,22.24,5.79,6.01,4
AC021701.1,0.08,0.03,0.03,0.26,0
SOCS6,18.13,8.16,11.27,14.62,4
LINC01909,3.61,0.94,0.58,0.26,1
LIVAR,0.00,0.02,0.00,0.00,0
LINC01910,0.06,0.02,0.03,0.00,0
AC091646.1,0.13,0.11,0.02,0.00,0
GTSCR1,0.02,0.07,0.00,0.00,0
AC090415.2,0.00,0.02,0.00,0.00,0
AC091691.3,0.02,0.05,0.00,0.00,0
AC091691.2,0.04,0.05,0.00,0.00,0
LINC01541,0.04,0.19,0.01,0.00,0
LINC01899,0.08,0.33,0.02,0.00,0
AC027458.1,0.06,0.06,0.00,0.00,0
AC069114.1,0.08,0.24,0.00,0.00,0
CBLN2,0.74,1.50,0.10,2.35,2
NETO1,0.38,0.57,0.08,1.31,1
AC091138.1,0.06,0.11,0.02,0.00,0
AC079062.1,0.17,0.09,0.00,0.52,0
LINC02582,0.04,0.09,0.00,0.00,0
AC079070.1,0.00,0.02,0.00,0.00,0
AC090125.1,0.30,0.30,0.00,0.00,0
AC090125.2,0.00,0.04,0.01,0.00,0
FBXO15,0.57,0.61,0.16,0.00,0
TIMM21,4.27,5.26,12.40,10.97,4
AC090398.1,0.04,0.03,0.00,0.00,0
CYB5A,4.15,8.40,19.97,19.32,4
AC090398.2,0.00,0.00,0.02,0.00,0
C18orf63,0.11,0.07,0.03,0.00,0
LINC01922,0.02,0.05,0.00,0.00,0
DIPK1C,3.31,3.62,8.43,10.44,4
AC009704.3,0.06,0.02,0.10,0.26,0
CNDP2,11.05,18.57,25.12,20.10,4
AC009704.2,0.32,0.29,0.48,0.26,0
CNDP1,1.28,2.02,0.11,0.00,2
AC009704.1,0.00,0.01,0.00,0.00,0
LINC00909,7.52,8.57,12.35,11.75,4
ZNF407,54.16,50.76,12.87,16.19,4
AC015819.2,0.42,0.26,0.05,0.78,0
AC015819.1,0.09,0.46,0.00,0.26,0
AC015819.5,0.08,0.05,0.00,0.00,0
ZADH2,14.66,12.81,23.96,17.23,4
TSHZ1,30.56,23.86,15.91,15.14,4
AC116003.3,0.00,0.00,0.01,0.00,0
AC116003.1,0.04,0.02,0.02,0.00,0
AC012101.2,0.60,0.30,1.88,0.26,1
LINC01898,0.00,0.01,0.00,0.00,0
AC090457.1,0.02,0.00,0.00,0.00,0
AC011095.1,0.00,0.01,0.00,0.00,0
AC103808.6,0.00,0.01,0.00,0.00,0
LINC01893,0.00,0.02,0.00,0.00,0
AC103808.2,0.00,0.01,0.00,0.00,0
AC103808.4,0.02,0.00,0.00,0.00,0
AC103808.1,0.00,0.02,0.00,0.00,0
ZNF516,26.74,18.77,11.95,8.62,4
AC009716.1,0.21,0.90,0.00,0.00,0
AC018413.1,0.15,0.15,1.01,1.31,2
C18orf65,0.04,0.02,0.16,0.00,0
LINC00683,0.49,0.57,0.23,0.26,0
AC034110.1,0.02,0.01,0.05,0.00,0
LINC01927,0.00,0.02,0.00,0.00,0
LINC01879,0.02,0.01,0.00,0.00,0
ZNF236-DT,4.36,4.10,0.29,0.00,2
AC027575.2,0.08,0.33,0.68,0.00,0
ZNF236,24.31,20.01,12.78,9.14,4
AC093330.1,0.68,0.56,0.04,0.26,0
MBP,41.28,57.67,5.45,10.97,4
AC093330.3,0.02,0.19,0.00,0.00,0
AC018529.1,0.02,0.01,0.02,0.00,0
AC018529.2,0.26,2.02,0.12,0.78,1
AC100863.1,0.23,0.26,0.00,0.00,0
GALR1,0.55,0.19,0.20,0.00,0
AC124254.2,2.49,0.14,0.02,0.00,1
AC123786.1,0.08,0.01,0.00,0.00,0
AC123786.3,0.83,0.02,2.16,0.26,1
LINC01029,0.00,0.01,0.00,0.00,0
AC091027.2,0.00,0.02,0.00,0.00,0
LINC01896,0.06,0.00,0.01,0.00,0
SALL3,0.40,0.00,0.02,0.00,0
ATP9B,65.12,56.25,15.81,16.97,4
AC125437.1,0.19,0.25,0.19,0.26,0
AC125437.3,0.28,1.91,0.14,1.04,2
AC104423.1,0.00,0.04,0.02,0.78,0
AC023090.1,0.02,0.09,0.00,0.00,0
NFATC1,48.95,30.28,33.03,16.97,4
AC018445.5,2.19,4.41,1.68,0.26,3
AC018445.1,0.04,0.01,0.00,0.00,0
AC018445.6,0.09,0.03,0.02,0.00,0
AC068473.3,0.28,0.05,0.22,0.00,0
AC068473.4,0.04,0.05,0.00,0.00,0
AC068473.1,2.64,2.42,0.00,0.00,2
AC068473.5,0.91,0.85,1.91,2.09,2
CTDP1,18.24,14.69,8.29,5.48,4
AC068473.2,0.00,0.02,0.01,0.00,0
AC021594.1,0.02,0.00,0.00,0.00,0
AC021594.2,2.95,1.62,0.01,0.00,2
KCNG2,1.19,1.85,0.02,0.00,2
AC114341.1,0.04,0.02,0.07,0.52,0
SLC66A2,25.44,17.39,22.12,13.58,4
AC114341.2,0.23,0.25,0.55,0.00,0
HSBP1L1,2.29,6.03,6.18,8.09,4
TXNL4A,20.13,23.31,62.90,26.11,4
AC090360.1,0.70,0.44,1.15,0.78,1
RBFA,6.67,6.45,19.18,16.97,4
RBFADN,0.53,0.47,1.09,1.04,2
ADNP2,21.59,14.15,16.45,10.70,4
PARD6G-AS1,13.92,7.03,6.71,3.39,4
PARD6G,10.73,5.89,15.09,20.10,4
AC139100.2,2.36,1.54,6.26,0.26,3
AC139100.1,0.42,0.74,0.18,0.00,0
OR4F17,0.04,0.02,0.00,0.26,0
AC092192.1,0.00,0.03,0.00,0.00,0
LINC01002,4.17,2.04,1.78,2.87,4
AC016588.2,2.25,1.99,3.75,3.13,4
PLPP2,0.36,0.77,0.43,1.83,1
MIER2,7.01,4.54,13.93,5.74,4
THEG,0.11,0.03,0.00,0.00,0
AC010641.2,0.04,0.05,0.07,0.00,0
C2CD4C,0.02,0.04,0.04,0.00,0
SHC2,3.78,2.97,4.71,3.13,4
ODF3L2,0.51,0.30,1.67,0.26,1
MADCAM1,0.89,1.22,0.56,0.26,1
AC005775.1,0.62,0.36,0.05,0.00,0
TPGS1,5.04,7.93,19.96,10.70,4
CDC34,3.59,7.12,16.12,10.70,4
GZMM,2.63,19.35,0.15,4.18,3
AC009005.1,0.21,0.16,0.27,0.52,0
BSG,17.68,28.05,83.27,41.51,4
HCN2,1.36,1.94,0.14,0.52,2
POLRMT,3.08,4.99,12.81,4.18,4
AC004449.1,0.00,0.01,0.21,0.00,0
FGF22,0.40,0.53,0.32,0.00,0
RNF126,6.91,13.28,19.57,10.70,4
AC004156.1,0.17,0.24,0.36,0.26,0
FSTL3,1.76,1.01,9.29,2.61,4
PRSS57,0.06,0.35,0.00,0.00,0
PALM,2.51,1.73,5.08,3.66,4
MISP,0.11,0.05,0.03,0.00,0
AC006273.1,0.06,0.19,0.11,0.78,0
LINC01836,0.93,0.77,0.59,1.57,1
PTBP1,27.16,30.66,63.53,44.91,4
PLPPR3,1.59,3.40,3.09,1.57,4
AZU1,1.21,0.91,1.34,0.26,2
PRTN3,0.15,0.12,0.01,0.00,0
ELANE,0.45,0.43,0.16,0.52,0
CFD,5.85,23.19,2.33,18.80,4
MED16,6.35,8.81,27.70,12.01,4
R3HDM4,8.84,12.03,31.49,16.45,4
KISS1R,0.13,0.36,0.05,0.26,0
ARID3A,13.11,11.29,3.28,2.61,4
AC005391.1,0.04,0.02,0.02,0.00,0
WDR18,2.34,4.61,20.54,10.97,4
AC004528.1,0.42,0.27,0.23,0.26,0
GRIN3B,0.36,0.95,0.03,0.00,0
TMEM259,25.57,38.73,64.73,35.77,4
AC004528.2,0.04,0.09,0.03,0.00,0
CNN2,19.47,29.98,28.05,26.11,4
ABCA7,12.14,16.80,3.60,2.09,4
ARHGAP45,11.56,28.94,0.67,7.83,3
POLR2E,8.27,17.48,34.42,21.67,4
GPX4,13.77,33.97,63.50,44.39,4
SBNO2,18.30,12.85,20.09,9.40,4
STK11,11.92,14.70,30.64,15.93,4
CBARP,1.11,0.35,0.88,1.57,2
AC004221.1,0.02,0.02,0.01,0.00,0
ATP5F1D,13.56,38.79,75.70,49.35,4
MIDN,41.02,28.51,53.17,27.15,4
CIRBP,37.87,64.81,92.00,70.50,4
CIRBP-AS1,0.13,0.18,1.59,0.26,1
FAM174C,5.12,10.42,39.88,19.06,4
EFNA2,1.95,1.99,2.84,0.00,3
AC005330.1,0.00,0.01,0.03,0.00,0
PWWP3A,23.08,22.51,34.05,24.54,4
AC005329.2,0.06,0.06,0.01,0.00,0
NDUFS7,5.27,16.54,37.14,21.41,4
AC005329.3,0.02,0.06,0.02,0.00,0
AC005329.1,0.11,0.15,0.12,0.52,0
GAMT,1.04,3.07,5.28,10.70,4
DAZAP1,22.53,24.27,43.06,22.98,4
RPS15,41.15,91.88,96.61,87.21,4
AC027307.3,1.74,1.57,1.70,0.78,3
APC2,1.30,2.15,0.27,0.26,2
AC027307.2,0.57,1.56,2.57,4.96,3
C19orf25,12.63,15.84,23.97,14.10,4
PCSK4,0.45,0.88,0.77,0.78,0
REEP6,0.30,0.74,3.17,0.52,1
ADAMTSL5,0.17,0.29,0.50,0.00,0
AC027307.1,0.08,0.14,0.01,0.00,0
PLK5,0.25,0.13,0.05,0.00,0
MEX3D,1.61,2.18,5.27,7.83,4
MBD3,22.53,16.67,51.49,21.93,4
UQCR11,14.49,40.57,81.33,55.61,4
TCF3,14.69,16.80,13.46,15.93,4
ONECUT3,0.08,0.10,0.02,0.52,0
ATP8B3,1.70,1.19,3.94,2.09,4
REXO1,9.90,9.54,10.21,6.79,4
AC012615.2,0.70,1.34,0.67,0.52,1
AC012615.6,0.04,0.10,0.09,0.00,0
AC012615.3,0.00,0.01,0.00,0.00,0
KLF16,4.19,4.71,16.69,6.79,4
AC012615.4,0.00,0.00,0.02,0.00,0
AC012615.1,1.28,1.96,1.72,2.61,4
AC012615.5,0.02,0.02,0.00,0.00,0
ABHD17A,12.35,25.88,40.94,25.85,4
SCAMP4,9.27,9.23,27.45,13.84,4
ADAT3,0.13,0.18,0.56,0.26,0
CSNK1G2,28.37,23.83,30.16,17.75,4
CSNK1G2-AS1,0.25,0.21,0.12,0.00,0
BTBD2,15.77,21.41,25.78,20.63,4
AC005306.1,1.91,3.68,5.97,0.78,3
